YEAR,MONTH,DAY,HOUR,TEMPERATURE,DEW_POINT,GHI,PRESSURE,WIND_SPEED,RELATIVE HUMIDITY,PRECIPITABLE WATER,CLOUD_TYPE
2019,1,23,0,14.3,8.8,0,1032,4.1,69.69,1.4,0
2019,1,23,1,14.2,8.8,0,1031,4.1,70.21,1.4,3
2019,1,23,2,14.1,8.9,0,1031,4.1,71.05,1.4,3
2019,1,23,3,14.1,9,0,1031,4.1,71.62,1.4,0
2019,1,23,4,14.1,9.2,0,1031,4,72.27,1.4,3
2019,1,23,5,14.1,9.3,0,1031,4,72.97,1.5,3
2019,1,23,6,14.1,9.5,0,1032,3.9,74.06,1.5,3
2019,1,23,7,15.5,10.3,25,1032,4,71.17,1.5,1
2019,1,23,8,16.6,10.3,84,1033,4.4,66.33,1.5,3
2019,1,23,9,17.3,10.4,398,1033,4.5,64.07,1.6,0
2019,1,23,10,17.8,10.7,454,1033,4.4,63.31,1.6,2
2019,1,23,11,18.3,11,405,1032,4.4,62.52,1.6,3
2019,1,23,12,18.6,11.3,179,1031,4.7,62.35,1.7,3
2019,1,23,13,18.8,11.4,169,1030,4.9,62.25,1.7,3
2019,1,23,14,18.8,11.5,207,1030,5.1,62.65,1.8,3
2019,1,23,15,18.5,11.6,128,1030,5.1,64.01,1.9,3
2019,1,23,16,18,11.7,37,1030,4.7,66.86,1.9,3
2019,1,23,17,16.9,11.8,9,1030,4,72.1,2,3
2019,1,23,18,16.6,11.8,0,1031,3.8,73.32,2,3
2019,1,23,19,16.5,11.8,0,1031,3.8,73.66,2,3
2019,1,23,20,16.4,11.8,0,1031,3.8,74.16,2,3
2019,1,23,21,16.4,11.9,0,1031,3.8,74.54,2,3
2019,1,23,22,16.4,12,0,1031,3.8,75.02,2,3
2019,1,23,23,16.3,12.1,0,1031,3.8,76.01,2,3
2019,1,24,0,16.3,12.2,0,1030,3.8,76.45,2,3
2019,1,24,1,16.3,12.3,0,1030,3.8,77.03,2,3
2019,1,24,2,16.3,12.4,0,1030,3.8,77.64,2,3
2019,1,24,3,16.4,12.5,0,1030,3.9,77.65,2,0
2019,1,24,4,16.4,12.6,0,1030,4,78.01,2,3
2019,1,24,5,16.6,12.6,0,1030,4.1,77.48,2,3
2019,1,24,6,16.6,12.7,0,1031,4.2,77.71,2,3
2019,1,24,7,17.4,13.1,18,1031,4.4,75.95,1.9,1
2019,1,24,8,18.1,13.2,190,1032,4.9,73.17,1.9,2
2019,1,24,9,18.7,13.2,383,1032,5.1,70.39,1.9,2
2019,1,24,10,19.1,13.2,544,1032,4.9,68.74,1.9,0
2019,1,24,11,19.4,13.3,665,1031,4.8,67.63,1.9,1
2019,1,24,12,19.6,13.3,705,1030,4.8,66.98,1.9,1
2019,1,24,13,19.7,13.3,677,1030,5,66.69,1.9,0
2019,1,24,14,19.6,13.4,577,1029,5.2,67.2,2,0
2019,1,24,15,19.3,13.3,426,1029,5.2,68.41,2,0
2019,1,24,16,18.7,13.4,237,1029,4.8,71.47,2.1,0
2019,1,24,17,17.8,13.4,51,1030,4,75.64,2.1,1
2019,1,24,18,17.5,13.4,0,1030,3.8,76.78,2.1,0
2019,1,24,19,17.4,13.4,0,1031,3.6,77.39,2.2,0
