timestamp,KW,KW_CEILING
1/23/2019 0:00,359.32428,360
1/23/2019 1:00,308.62632,309
1/23/2019 2:00,284.16535,285
1/23/2019 3:00,252.00179,253
1/23/2019 4:00,263.32707,264
1/23/2019 5:00,245.14642,246
1/23/2019 6:00,236.46667,237
1/23/2019 7:00,264.95952,265
1/23/2019 8:00,289.26537,290
1/23/2019 9:00,366.17778,367
1/23/2019 10:00,430.89311,431
1/23/2019 11:00,410.14059,411
1/23/2019 12:00,421.73308,422
1/23/2019 13:00,427.56544,428
1/23/2019 14:00,441.64319,442
1/23/2019 15:00,433.72241,434
1/23/2019 16:00,414.68276,415
1/23/2019 17:00,403.3922,404
1/23/2019 18:00,371.8711,372
1/23/2019 19:00,368.24575,369
1/23/2019 20:00,373.8886,374
1/23/2019 21:00,327.74604,328
1/23/2019 22:00,338.00097,339
1/23/2019 23:00,326.21196,327
1/24/2019 0:00,313.45872,314
1/24/2019 1:00,295.95382,296
1/24/2019 2:00,278.01551,279
1/24/2019 3:00,245.48101,246
1/24/2019 4:00,234.25559,235
1/24/2019 5:00,230.92032,231
1/24/2019 6:00,225.51095,226
1/24/2019 7:00,248.95481,249
1/24/2019 8:00,299.72114,300
1/24/2019 9:00,370.75185,371
1/24/2019 10:00,393.82275,394
1/24/2019 11:00,404.0528,405
1/24/2019 12:00,423.46724,424
1/24/2019 13:00,445.58887,446
1/24/2019 14:00,422.28782,423
1/24/2019 15:00,409.94812,410
1/24/2019 16:00,409.70236,410
1/24/2019 17:00,409.22069,410
1/24/2019 18:00,380.10301,381
1/24/2019 19:00,346.32239,347
1/24/2019 20:00,361.34846,362
1/24/2019 21:00,354.36957,355
1/24/2019 22:00,351.41112,352
1/24/2019 23:00,329.76252,330
1/25/2019 0:00,322.21441,323
1/25/2019 1:00,304.43553,305
1/25/2019 2:00,282.99936,283
1/25/2019 3:00,251.36001,252
1/25/2019 4:00,245.11358,246
1/25/2019 5:00,242.16483,243
1/25/2019 6:00,241.85928,242
1/25/2019 7:00,270.86954,271
1/25/2019 8:00,325.29851,326
1/25/2019 9:00,366.24561,367
1/25/2019 10:00,393.82758,394
1/25/2019 11:00,408.59635,409
1/25/2019 12:00,376.73361,377
1/25/2019 13:00,397.54421,398
1/25/2019 14:00,405.89437,406
1/25/2019 15:00,405.8017,406
1/25/2019 16:00,403.64253,404
1/25/2019 17:00,386.28552,387
1/25/2019 18:00,368.80692,369
1/25/2019 19:00,341.02223,342
1/25/2019 20:00,340.66077,341
1/25/2019 21:00,328.7711,329
1/25/2019 22:00,308.15829,309
1/25/2019 23:00,310.23917,311
1/26/2019 0:00,321.1681,322
1/26/2019 1:00,287.8492,288
