LOAD(kW),SG(t)
223.4491421,0
203.3116776,0
180.198849,0
146.232528,0
168.7479324,0
146.3714715,0
141.7335867,0
157.0665127,0.00269094
173.9253125,0.01865598
225.460794,0.02749979
233.2287917,0.1684654
225.9085089,0.1285657
233.5997562,0.133128
219.7793929,0.39177558
235.4612028,0.25165492
242.2159775,0.0934605
234.557122,0.04365704
248.8037432,0.00534834
215.2393409,0
209.0132087,0
220.0675087,0
196.1135556,0
200.0019572,0
202.5884461,0
196.1826248,0
188.9182917,0
177.47892,0
150.5074254,0
145.1003789,0
140.9533848,0
135.6311464,0
156.1706997,0.00534318
185.2041611,0.03023416
214.8187554,0.01509515
218.5404058,0.05588667
223.6456088,0.088666
244.0959347,0.28004868
244.4028427,0.15228364
225.9796433,0.12218106
219.4804111,0.0345462
214.0318309,0.01240722
225.033244,0.00265998
215.9113201,0
193.3663203,0
204.9613124,0
195.7638771,0
208.6482067,0
192.8788815,0
194.8424671,0
184.5380759,0
163.7730145,0
150.0150022,0
145.1351999,0
143.0896719,0
140.1308556,0
162.393446,0.00265869
197.6616923,0.01239518
202.5252223,0.0397836
219.3057687,0.0794898
235.2595262,0.12529512
213.3492312,0.1852053
214.7131588,0.1066615
226.2733681,0.16828437
225.4762082,0.08017737
236.1314936,0.02378889
219.1463129,0.00352428
208.4657608,0
193.665386,0
194.6260969,0
193.3791209,0
181.033231,0
180.5374208,0
195.3401435,0
169.8190045,0
154.9278993,0
144.3595314,0
138.6556238,0
145.4060502,0
134.4004621,0
145.276221,0.02349864
162.5737835,0.16573834
166.1473601,0.3223839
163.6557909,0.45109064
177.9875971,0.53417266
187.7267045,0.56019024
191.7609668,0.28880563
178.8842606,0.1546452
187.2082196,0.1172524
185.4379761,0.16202615
189.5787377,0.00696256
171.8496439,0
165.6787005,0
195.5214857,0
183.9458796,0
177.6606195,0
195.1549391,0
189.4498717,0
182.8567931,0
158.6741545,0
141.6640565,0
145.2263884,0
153.1029649,0
139.8947856,0
166.2914095,0.00972015
150.1672447,0.06343704
171.6972454,0.07646604
173.4473817,0.05002491
167.7821911,0.144738
176.0261908,0.18254704
180.2998392,0.16419722
171.9952972,0.09589602
188.0276294,0.111069
187.9054995,0.1572897
178.2951043,0.01239518
178.3548256,0
183.9300862,0
173.681348,0
172.0906441,0
174.5744748,0
205.5446471,0
190.729894,0
153.3435151,0
147.3224084,0
157.497123,0
135.3628747,0
131.327128,0
138.6857876,0
138.4310514,0.0044419
186.1221916,0.02217725
216.6980879,0.03718554
206.749815,0.05390265
212.2825139,0.0839059
232.9694311,0.1501474
238.7742556,0.09450454
225.2103253,0.06356088
211.2187829,0.10775284
212.6282221,0.05395511
204.8761837,0.00708296
232.5240653,0
212.0943593,0
201.9104456,0
203.4724359,0
205.615839,0
211.0516201,0
219.3379077,0
209.5999821,0
189.5465668,0
158.6682146,0
166.9604236,0
171.5553631,0
173.1620595,0
168.4116477,0.01411776
183.7805192,0.1669948
226.3401235,0.29707926
220.1180073,0.34863024
245.2150953,0.25201956
251.6363631,0.518967
260.9581161,0.11923384
268.670664,0.174064
233.7639789,0.11058525
240.3816074,0.16489683
233.8038716,0.01138124
232.337125,0
227.6478207,0
234.304841,0
207.2381399,0
195.3606578,0
200.1433601,0
201.89425,0
188.1186935,0
147.8499679,0
157.2507363,0
150.8639107,0
147.9395298,0
153.480372,0
155.4619085,0.01852053
177.8166137,0.16027648
207.7817572,0.0721067
231.2716113,0.1405584
227.8488594,0.09483048
234.8387296,0.25036965
218.6522493,0.28037548
217.7666162,0.25061475
215.0942619,0.16107843
220.464869,0.04317243
222.0113626,0.00705544
225.1052101,0
212.1712498,0
208.8982832,0
195.5264302,0
206.6449399,0
198.9856284,0
187.54364,0
178.734853,0
168.9673958,0
150.2185208,0
164.5064351,0
151.845872,0
153.8090179,0
161.7812738,0.02038329
180.2124251,0.16628788
219.8940774,0.23911956
215.8881797,0.23072768
216.6664702,0.54141472
238.4613423,0.26693024
244.3255421,0.37054132
236.6020286,0.29502816
218.5780502,0.23631381
205.3792441,0.09506268
201.7350387,0.014104
205.1516369,0
211.0108731,0
174.7053986,0
170.953697,0
171.9551131,0
161.5492232,0
178.7387945,0
159.8029425,0
139.9802229,0
136.5238144,0
138.9885006,0
137.6554524,0
139.8647589,0
135.4787615,0.01835799
160.5167768,0.15768358
176.8804226,0.312696
183.1975536,0.21411936
187.275684,0.55224642
202.155337,0.57850136
191.0399128,0.54960192
169.3436808,0.46533912
166.3457381,0.3305582
179.7638496,0.17606522
176.3743244,0.02532657
171.7878781,0
173.5116637,0
184.4150342,0
169.521445,0
159.3937232,0
164.2996637,0
168.0070149,0
157.1508155,0
145.1406661,0
140.0134062,0
131.080631,0
135.3028869,0
135.0137054,0
143.8408659,0.00961609
137.8288438,0.06537075
135.0726548,0.13563576
149.008003,0.19784472
170.8199167,0.54786816
161.4812169,0.57618925
155.524307,0.2340576
141.2812057,0.17623851
146.9559923,0.18546975
153.3175149,0.08125968
169.5294783,0.0157896
162.5993152,0
142.3523885,0
138.7126859,0
143.1068607,0
151.1283125,0
151.4278365,0
133.9418065,0
145.0882957,0
140.9270263,0
130.5743848,0
123.796686,0
122.5555327,0
123.1182649,0
135.790179,0.01679752
133.4333008,0.01234702
137.7793803,0.0264063
155.0165321,0.44649136
150.9499543,0.26191816
145.1857545,0.05102724
141.4353243,0.12158766
136.6509897,0.066177
148.3333751,0.02739315
150.7643661,0.03275869
169.9029048,0.00620662
167.1947033,0
154.5059316,0
150.7033391,0
145.6257694,0
148.9968929,0
159.2655006,0
142.902087,0
146.5618768,0
130.6113649,0
126.223,0
125.8792095,0
123.7879583,0
119.2846964,0
130.4691394,0.01333215
126.662822,0.155316
133.3070566,0.19408437
153.8877381,0.31769346
140.4819494,0.24489016
190.0687704,0.12282735
154.1266548,0.08133536
157.9168489,0.0840693
141.5429911,0.10103022
151.1899018,0.022188
137.9964345,0.0044419
140.2898094,0
134.6832126,0
151.6617745,0
146.0557589,0
131.6086875,0
156.0749973,0
143.9408338,0
127.1856786,0
123.109936,0
127.8807562,0
122.9208665,0
118.6078286,0
121.0682898,0
128.6851045,0.00531996
128.8347483,0.0335787
131.8653512,0.0352256
134.6103173,0.08517182
138.0457143,0.57049734
141.0960804,0.459627
149.1590569,0.57025224
139.9305281,0.28512612
159.5194966,0.17063475
146.9709972,0.1114044
143.4478601,0.01937408
131.8257732,0
133.3806439,0
158.1528052,0
138.1546295,0
150.7626119,0
148.5353839,0
144.6835923,0
150.5211581,0
129.8554571,0
128.9449137,0
124.0302576,0
127.5820982,0
122.8944315,0
135.732625,0.00439245
144.6605605,0.0262902
134.9690565,0.05953264
146.4589538,0.07959042
144.5045714,0.13818996
142.4179881,0.21099068
150.4288678,0.07974694
143.4537788,0.0965393
146.6564038,0.13095908
145.6456884,0.07397376
155.9768118,0.01322895
174.4842199,0
158.7016637,0
158.08686,0
148.4766156,0
158.3378902,0
144.1734617,0
143.8973274,0
138.9773036,0
131.3513436,0
127.3266602,0
126.4129122,0
121.9060685,0
136.293289,0
134.4453614,0.00267675
138.5456101,0.01247946
144.4790447,0.13275304
153.9742708,0.0302634
165.0751319,0.1032516
154.6764494,0.1290645
161.8130513,0.0507357
156.4687193,0.04274544
158.7738982,0.02940168
149.527753,0.01426224
162.8568121,0.003569
168.7805618,0
158.0873543,0
160.7194845,0
143.2004708,0
143.8929821,0
148.4285,0
140.5439738,0
134.4383139,0
128.318606,0
122.2473304,0
129.342369,0
132.4232731,0
122.1101488,0
120.6214702,0.00269094
125.6565832,0.0125517
133.968622,0.03493191
147.5654821,0.0671445
166.9099006,0.05100531
157.6003409,0.11095892
157.2050952,0.0643968
144.5103172,0.0429312
138.967643,0.0304096
135.3935952,0.01521942
161.17145,0.0035862
175.3494245,0
146.751905,0
157.1396986,0
141.1989466,0
154.3609382,0
135.5890158,0
142.1613244,0
137.4126708,0
127.4326917,0
122.8544761,0
123.3447171,0
123.7507838,0
122.9390406,0
130.103579,0.02416041
132.0570259,0.14351379
139.9673669,0.20077388
156.7529405,0.50337864
139.3790357,0.59321768
170.3593467,0.52412184
162.3796014,0.60705723
147.4102204,0.53102592
157.6841088,0.27841812
144.1073155,0.13166385
149.9755208,0.0248626
162.7995013,0
158.4300804,0
152.3232113,0
161.9753187,0
138.9767516,0
153.7298638,0
150.4906824,0
147.2560533,0
127.3574703,0
124.3951147,0
130.0631131,0
123.9045536,0
128.2011042,0
128.0732649,0.02737982
138.5044693,0.1843023
139.1333327,0.35212528
160.1652458,0.48873198
160.8221399,0.58485504
160.8881084,0.47171344
153.0686073,0.32478975
145.5767596,0.10987704
147.460129,0.15910258
147.6313661,0.0192984
159.1780149,0.00440535
154.4937708,0
143.5211131,0
166.1906289,0
154.5596916,0
159.9433065,0
185.0872165,0
174.5947967,0
152.3224091,0
146.1591071,0
132.0886814,0
131.0299881,0
135.6976131,0
130.9038058,0
148.6630952,0.01678118
172.3079402,0.12082441
203.5395595,0.178063
217.3402784,0.14199073
238.9431935,0.2206975
231.3142042,0.1466859
230.8192715,0.09818061
226.9931634,0.08942237
199.2698987,0.03367674
204.2239048,0.01420032
199.9768601,0.00533028
188.7754615,0
181.9773958,0
183.6633834,0
167.146804,0
200.1578668,0
187.453318,0
174.151504,0
161.1757005,0
151.4537567,0
149.1117322,0
146.6663222,0
142.76664,0
139.8132351,0
154.6297827,0.00359136
170.3084299,0.00807282
201.799802,0.12276844
251.5776191,0.04209743
241.9300208,0.05192508
238.8296607,0.12259171
260.7836547,0.0652912
258.6026394,0.04742599
239.7995102,0.06532259
237.1733361,0.01971464
229.1062787,0.00538188
244.2234343,0
232.2219348,0
229.699206,0
204.1824851,0
197.9422827,0
202.8851726,0
186.4086758,0
159.6755355,0
148.6943047,0
165.5303898,0
156.020272,0
149.3613518,0
154.1537446,0
164.1775179,0.0044978
193.7296225,0.02337738
216.6060044,0.0862752
241.2967898,0.0440363
247.268777,0.0530233
263.5655452,0.0566181
276.9682113,0.0538962
268.7726972,0.0458337
240.4312534,0.03776346
239.3553144,0.02879968
238.1453006,0.00721712
230.7269524,0
227.4339226,0
226.8709338,0
223.5357202,0
236.7674113,0
216.0502091,0
189.2363423,0
180.5706905,0
175.0541313,0
157.8316191,0
