date,time,KW,TEMPERATURE,OT
2019-01-23,00:00:00,359.32,14.3,0
2019-01-23,01:00:00,308.63,14.2,0
2019-01-23,02:00:00,284.17,14.1,0
2019-01-23,03:00:00,252.0,14.1,0
2019-01-23,04:00:00,263.33,14.1,0
2019-01-23,05:00:00,245.15,14.1,0
2019-01-23,06:00:00,236.47,14.1,0
2019-01-23,07:00:00,264.96,15.5,25
2019-01-23,08:00:00,289.27,16.6,84
2019-01-23,09:00:00,366.18,17.3,398
2019-01-23,10:00:00,430.89,17.8,454
2019-01-23,11:00:00,410.14,18.3,405
2019-01-23,12:00:00,421.73,18.6,179
2019-01-23,13:00:00,427.57,18.8,169
2019-01-23,14:00:00,441.64,18.8,207
2019-01-23,15:00:00,433.72,18.5,128
2019-01-23,16:00:00,414.68,18.0,37
2019-01-23,17:00:00,403.39,16.9,9
2019-01-23,18:00:00,371.87,16.6,0
2019-01-23,19:00:00,368.25,16.5,0
2019-01-23,20:00:00,373.89,16.4,0
2019-01-23,21:00:00,327.75,16.4,0
2019-01-23,22:00:00,338.0,16.4,0
2019-01-23,23:00:00,326.21,16.3,0
2019-01-24,00:00:00,313.46,16.3,0
2019-01-24,01:00:00,295.95,16.3,0
2019-01-24,02:00:00,278.02,16.3,0
2019-01-24,03:00:00,245.48,16.4,0
2019-01-24,04:00:00,234.26,16.4,0
2019-01-24,05:00:00,230.92,16.6,0
2019-01-24,06:00:00,225.51,16.6,0
2019-01-24,07:00:00,248.95,17.4,18
2019-01-24,08:00:00,299.72,18.1,190
2019-01-24,09:00:00,370.75,18.7,383
2019-01-24,10:00:00,393.82,19.1,544
2019-01-24,11:00:00,404.05,19.4,665
2019-01-24,12:00:00,423.47,19.6,705
2019-01-24,13:00:00,445.59,19.7,677
2019-01-24,14:00:00,422.29,19.6,577
2019-01-24,15:00:00,409.95,19.3,426
2019-01-24,16:00:00,409.7,18.7,237
2019-01-24,17:00:00,409.22,17.8,51
2019-01-24,18:00:00,380.1,17.5,0
2019-01-24,19:00:00,346.32,17.4,0
2019-01-24,20:00:00,361.35,17.3,0
2019-01-24,21:00:00,354.37,17.2,0
2019-01-24,22:00:00,351.41,17.1,0
