date,time,KW,GHI,OT
2019-01-23,00:00:00,359.32,0,14.3
2019-01-23,01:00:00,308.63,0,14.2
2019-01-23,02:00:00,284.17,0,14.1
2019-01-23,03:00:00,252.0,0,14.1
2019-01-23,04:00:00,263.33,0,14.1
2019-01-23,05:00:00,245.15,0,14.1
2019-01-23,06:00:00,236.47,0,14.1
2019-01-23,07:00:00,264.96,25,15.5
2019-01-23,08:00:00,289.27,84,16.6
2019-01-23,09:00:00,366.18,398,17.3
2019-01-23,10:00:00,430.89,454,17.8
2019-01-23,11:00:00,410.14,405,18.3
2019-01-23,12:00:00,421.73,179,18.6
2019-01-23,13:00:00,427.57,169,18.8
2019-01-23,14:00:00,441.64,207,18.8
2019-01-23,15:00:00,433.72,128,18.5
2019-01-23,16:00:00,414.68,37,18.0
2019-01-23,17:00:00,403.39,9,16.9
2019-01-23,18:00:00,371.87,0,16.6
2019-01-23,19:00:00,368.25,0,16.5
2019-01-23,20:00:00,373.89,0,16.4
2019-01-23,21:00:00,327.75,0,16.4
2019-01-23,22:00:00,338.0,0,16.4
2019-01-23,23:00:00,326.21,0,16.3
2019-01-24,00:00:00,313.46,0,16.3
2019-01-24,01:00:00,295.95,0,16.3
2019-01-24,02:00:00,278.02,0,16.3
2019-01-24,03:00:00,245.48,0,16.4
2019-01-24,04:00:00,234.26,0,16.4
2019-01-24,05:00:00,230.92,0,16.6
2019-01-24,06:00:00,225.51,0,16.6
2019-01-24,07:00:00,248.95,18,17.4
2019-01-24,08:00:00,299.72,190,18.1
2019-01-24,09:00:00,370.75,383,18.7
2019-01-24,10:00:00,393.82,544,19.1
2019-01-24,11:00:00,404.05,665,19.4
2019-01-24,12:00:00,423.47,705,19.6
2019-01-24,13:00:00,445.59,677,19.7
2019-01-24,14:00:00,422.29,577,19.6
2019-01-24,15:00:00,409.95,426,19.3
2019-01-24,16:00:00,409.7,237,18.7
2019-01-24,17:00:00,409.22,51,17.8
2019-01-24,18:00:00,380.1,0,17.5
2019-01-24,19:00:00,346.32,0,17.4
2019-01-24,20:00:00,361.35,0,17.3
2019-01-24,21:00:00,354.37,0,17.2
2019-01-24,22:00:00,351.41,0,17.1
2019-01-24,23:00:00,329.76,0,17.1
2019-01-25,00:00:00,322.21,0,17.2
2019-01-25,01:00:00,304.44,0,17.2
2019-01-25,02:00:00,283.0,0,17.2
2019-01-25,03:00:00,251.36,0,17.3
2019-01-25,04:00:00,245.11,0,17.3
2019-01-25,05:00:00,242.16,0,17.4
2019-01-25,06:00:00,241.86,0,17.3
2019-01-25,07:00:00,270.87,27,18.5
2019-01-25,08:00:00,325.3,92,19.6
2019-01-25,09:00:00,366.25,398,20.3
2019-01-25,10:00:00,393.83,560,20.9
2019-01-25,11:00:00,408.6,668,21.2
2019-01-25,12:00:00,376.73,709,21.2
2019-01-25,13:00:00,397.54,679,21.1
2019-01-25,14:00:00,405.89,580,20.7
2019-01-25,15:00:00,405.8,426,20.0
2019-01-25,16:00:00,403.64,238,19.1
2019-01-25,17:00:00,386.29,50,18.2
2019-01-25,18:00:00,368.81,0,18.0
2019-01-25,19:00:00,341.02,0,17.9
2019-01-25,20:00:00,340.66,0,17.8
2019-01-25,21:00:00,328.77,0,17.8
2019-01-25,22:00:00,308.16,0,17.7
2019-01-25,23:00:00,310.24,0,17.6
2019-01-26,00:00:00,321.17,0,17.3
2019-01-26,01:00:00,287.85,0,16.9
2019-01-26,02:00:00,266.14,0,16.6
2019-01-26,03:00:00,248.92,0,16.3
2019-01-26,04:00:00,238.01,0,16.0
2019-01-26,05:00:00,246.11,0,15.9
2019-01-26,06:00:00,234.62,0,15.7
2019-01-26,07:00:00,246.85,12,15.7
2019-01-26,08:00:00,290.25,83,15.7
2019-01-26,09:00:00,302.89,319,15.8
2019-01-26,10:00:00,304.64,50,15.7
2019-01-26,11:00:00,320.32,61,15.5
2019-01-26,12:00:00,322.9,65,15.4
2019-01-26,13:00:00,344.67,62,15.3
2019-01-26,14:00:00,337.54,53,15.2
2019-01-26,15:00:00,349.98,42,15.0
2019-01-26,16:00:00,338.52,24,14.7
2019-01-26,17:00:00,339.21,17,14.5
2019-01-26,18:00:00,315.91,0,14.5
2019-01-26,19:00:00,302.66,0,14.5
2019-01-26,20:00:00,331.08,0,14.6
2019-01-26,21:00:00,319.97,0,14.6
2019-01-26,22:00:00,304.19,0,14.7
2019-01-26,23:00:00,323.86,0,14.7
2019-01-27,00:00:00,309.51,0,14.6
2019-01-27,01:00:00,290.1,0,14.5
2019-01-27,02:00:00,264.28,0,14.5
2019-01-27,03:00:00,242.43,0,14.4
2019-01-27,04:00:00,252.23,0,14.4
2019-01-27,05:00:00,248.91,0,14.4
2019-01-27,06:00:00,233.83,0,14.5
2019-01-27,07:00:00,263.69,12,15.1
2019-01-27,08:00:00,264.12,76,15.8
2019-01-27,09:00:00,293.01,83,16.4
2019-01-27,10:00:00,301.18,161,16.9
2019-01-27,11:00:00,297.59,60,17.2
2019-01-27,12:00:00,307.05,203,17.4
2019-01-27,13:00:00,317.22,556,17.5
2019-01-27,14:00:00,303.62,403,17.4
2019-01-27,15:00:00,330.53,237,17.2
2019-01-27,16:00:00,322.76,262,16.9
2019-01-27,17:00:00,316.55,67,16.1
2019-01-27,18:00:00,320.67,0,15.8
2019-01-27,19:00:00,312.69,0,15.7
2019-01-27,20:00:00,301.33,0,15.6
2019-01-27,21:00:00,308.17,0,15.6
2019-01-27,22:00:00,302.63,0,15.6
2019-01-27,23:00:00,328.97,0,15.6
2019-01-28,00:00:00,305.46,0,15.6
2019-01-28,01:00:00,270.47,0,15.6
2019-01-28,02:00:00,265.94,0,15.6
2019-01-28,03:00:00,254.89,0,15.6
2019-01-28,04:00:00,235.0,0,15.7
2019-01-28,05:00:00,224.98,0,15.8
2019-01-28,06:00:00,231.2,0,15.9
2019-01-28,07:00:00,243.62,36,17.0
2019-01-28,08:00:00,316.37,224,18.2
2019-01-28,09:00:00,369.12,424,19.1
2019-01-28,10:00:00,377.79,590,19.6
2019-01-28,11:00:00,380.49,708,20.0
2019-01-28,12:00:00,399.17,753,20.2
2019-01-28,13:00:00,423.18,723,20.2
2019-01-28,14:00:00,411.67,624,20.0
2019-01-28,15:00:00,411.08,387,19.7
2019-01-28,16:00:00,391.1,163,19.0
2019-01-28,17:00:00,381.4,36,17.9
2019-01-28,18:00:00,389.92,0,17.7
2019-01-28,19:00:00,367.73,0,17.7
2019-01-28,20:00:00,364.22,0,17.8
2019-01-28,21:00:00,351.41,0,17.8
2019-01-28,22:00:00,345.6,0,17.8
2019-01-28,23:00:00,347.67,0,17.7
2019-01-29,00:00:00,346.01,0,17.6
2019-01-29,01:00:00,332.38,0,17.6
2019-01-29,02:00:00,293.55,0,17.7
2019-01-29,03:00:00,254.9,0,17.7
2019-01-29,04:00:00,270.41,0,17.8
2019-01-29,05:00:00,264.26,0,17.8
2019-01-29,06:00:00,266.42,0,17.8
2019-01-29,07:00:00,260.63,24,18.7
2019-01-29,08:00:00,287.05,217,19.5
2019-01-29,09:00:00,347.56,318,20.1
2019-01-29,10:00:00,352.83,582,20.5
2019-01-29,11:00:00,415.79,700,20.8
2019-01-29,12:00:00,410.28,742,21.1
2019-01-29,13:00:00,414.06,445,21.1
2019-01-29,14:00:00,422.77,410,21.1
2019-01-29,15:00:00,389.94,281,20.9
2019-01-29,16:00:00,411.65,177,20.5
2019-01-29,17:00:00,384.6,44,19.6
2019-01-29,18:00:00,387.29,0,19.3
2019-01-29,19:00:00,371.12,0,19.3
2019-01-29,20:00:00,376.26,0,19.2
2019-01-29,21:00:00,342.42,0,19.2
2019-01-29,22:00:00,331.75,0,19.2
2019-01-29,23:00:00,345.02,0,19.2
2019-01-30,00:00:00,326.32,0,19.2
2019-01-30,01:00:00,306.28,0,19.2
2019-01-30,02:00:00,265.71,0,19.1
2019-01-30,03:00:00,262.68,0,19.1
2019-01-30,04:00:00,253.24,0,19.0
2019-01-30,05:00:00,239.12,0,18.9
2019-01-30,06:00:00,242.64,0,18.9
2019-01-30,07:00:00,243.77,37,20.2
2019-01-30,08:00:00,308.42,224,21.3
2019-01-30,09:00:00,367.85,299,22.2
2019-01-30,10:00:00,414.59,465,22.8
2019-01-30,11:00:00,411.44,704,23.1
2019-01-30,12:00:00,392.42,745,23.2
2019-01-30,13:00:00,392.57,446,23.0
2019-01-30,14:00:00,387.33,342,22.6
2019-01-30,15:00:00,405.55,241,22.0
2019-01-30,16:00:00,375.65,59,21.2
2019-01-30,17:00:00,391.83,13,20.1
2019-01-30,18:00:00,391.53,0,19.9
2019-01-30,19:00:00,363.47,0,20.0
2019-01-30,20:00:00,350.69,0,20.0
2019-01-30,21:00:00,343.23,0,19.9
2019-01-30,22:00:00,344.18,0,20.1
2019-01-30,23:00:00,328.96,0,20.3
2019-01-31,00:00:00,310.27,0,20.3
2019-01-31,01:00:00,300.86,0,20.3
2019-01-31,02:00:00,281.93,0,20.1
2019-01-31,03:00:00,240.47,0,20.0
2019-01-31,04:00:00,252.7,0,19.8
2019-01-31,05:00:00,236.63,0,19.3
2019-01-31,06:00:00,236.72,0,18.9
2019-01-31,07:00:00,248.34,41,20.1
2019-01-31,08:00:00,291.59,141,21.2
2019-01-31,09:00:00,378.74,203,22.1
2019-01-31,10:00:00,393.59,602,23.1
2019-01-31,11:00:00,357.51,708,23.8
2019-01-31,12:00:00,386.59,746,24.1
2019-01-31,13:00:00,433.18,713,24.1
2019-01-31,14:00:00,378.55,191,23.6
2019-01-31,15:00:00,396.26,38,22.4
2019-01-31,16:00:00,390.03,63,20.4
2019-01-31,17:00:00,338.37,35,18.3
2019-01-31,18:00:00,334.7,0,17.1
2019-01-31,19:00:00,333.06,0,16.4
