Year,Month,Day,Hour,Minute,GHI,Temperature,,,,,,,,
2019,1,1,0,0,0,16.3,,,,,,,,
2019,1,1,1,0,0,16.2,,,,,,,,
2019,1,1,2,0,0,16.1,,,,,,,,
2019,1,1,3,0,0,16,,,,,,,,
2019,1,1,4,0,0,15.9,,,,,,,,
2019,1,1,5,0,0,16,,,,,,,,
2019,1,1,6,0,0,16.1,,,,,,,,
2019,1,1,7,0,3,16.4,,,,,,,,
2019,1,1,8,0,21,18.4,,,,,,,,
2019,1,1,9,0,31,18.7,,,,,,,,
2019,1,1,10,0,190,18.8,,,,,,,,
2019,1,1,11,0,145,18.8,,,,,,,,
2019,1,1,12,0,150,18.6,,,,,,,,
2019,1,1,13,0,441,18.4,,,,,,,,
2019,1,1,14,0,283,18.2,,,,,,,,
2019,1,1,15,0,105,18,,,,,,,,
2019,1,1,16,0,49,17.8,,,,,,,,
2019,1,1,17,0,6,17.7,,,,,,,,
2019,1,1,18,0,0,17.7,,,,,,,,
2019,1,1,19,0,0,17.7,,,,,,,,
2019,1,1,20,0,0,17.7,,,,,,,,
2019,1,1,21,0,0,17.7,,,,,,,,
2019,1,1,22,0,0,17.7,,,,,,,,
2019,1,1,23,0,0,17.8,,,,,,,,
2019,1,2,0,0,0,17.8,,,,,,,,
2019,1,2,1,0,0,17.8,,,,,,,,
2019,1,2,2,0,0,17.8,,,,,,,,
2019,1,2,3,0,0,17.7,,,,,,,,
2019,1,2,4,0,0,17.7,,,,,,,,
2019,1,2,5,0,0,17.7,,,,,,,,
2019,1,2,6,0,0,17.7,,,,,,,,
2019,1,2,7,0,6,17.9,,,,,,,,
2019,1,2,8,0,34,18.2,,,,,,,,
2019,1,2,9,0,17,18.5,,,,,,,,
2019,1,2,10,0,63,18.7,,,,,,,,
2019,1,2,11,0,100,18.8,,,,,,,,
2019,1,2,12,0,316,18.9,,,,,,,,
2019,1,2,13,0,172,19.1,,,,,,,,
2019,1,2,14,0,138,19.1,,,,,,,,
2019,1,2,15,0,39,19,,,,,,,,
2019,1,2,16,0,14,18.9,,,,,,,,
2019,1,2,17,0,3,18.8,,,,,,,,
2019,1,2,18,0,0,18.8,,,,,,,,
2019,1,2,19,0,0,18.9,,,,,,,,
2019,1,2,20,0,0,19,,,,,,,,
2019,1,2,21,0,0,19,,,,,,,,
2019,1,2,22,0,0,19,,,,,,,,
2019,1,2,23,0,0,19,,,,,,,,
2019,1,3,0,0,0,19,,,,,,,,
2019,1,3,1,0,0,19,,,,,,,,
2019,1,3,2,0,0,18.9,,,,,,,,
2019,1,3,3,0,0,18.8,,,,,,,,
2019,1,3,4,0,0,18.8,,,,,,,,
2019,1,3,5,0,0,18.7,,,,,,,,
2019,1,3,6,0,0,18.7,,,,,,,,
2019,1,3,7,0,3,18.9,,,,,,,,
2019,1,3,8,0,14,19.1,,,,,,,,
2019,1,3,9,0,45,19.4,,,,,,,,
2019,1,3,10,0,90,19.6,,,,,,,,
2019,1,3,11,0,142,19.8,,,,,,,,
2019,1,3,12,0,210,19.9,,,,,,,,
2019,1,3,13,0,121,20,,,,,,,,
2019,1,3,14,0,191,20.1,,,,,,,,
2019,1,3,15,0,91,20.1,,,,,,,,
2019,1,3,16,0,27,20.1,,,,,,,,
2019,1,3,17,0,4,20.1,,,,,,,,
2019,1,3,18,0,0,20.2,,,,,,,,
2019,1,3,19,0,0,20.4,,,,,,,,
2019,1,3,20,0,0,20.6,,,,,,,,
2019,1,3,21,0,0,20.7,,,,,,,,
2019,1,3,22,0,0,20.9,,,,,,,,
2019,1,3,23,0,0,21.1,,,,,,,,
2019,1,4,0,0,0,21.3,,,,,,,,
2019,1,4,1,0,0,21.4,,,,,,,,
2019,1,4,2,0,0,21.6,,,,,,,,
2019,1,4,3,0,0,21.7,,,,,,,,
2019,1,4,4,0,0,21.9,,,,,,,,
2019,1,4,5,0,0,22,,,,,,,,
2019,1,4,6,0,0,22.1,,,,,,,,
2019,1,4,7,0,27,22.6,,,,,,,,
2019,1,4,8,0,191,23.2,,,,,,,,
2019,1,4,9,0,373,24,,,,,,,,
2019,1,4,10,0,524,24.8,,,,,,,,
2019,1,4,11,0,623,25.6,,,,,,,,
2019,1,4,12,0,654,25.8,,,,,,,,
2019,1,4,13,0,337,25.7,,,,,,,,
2019,1,4,14,0,180,25.2,,,,,,,,
2019,1,4,15,0,136,24.5,,,,,,,,
2019,1,4,16,0,187,23.5,,,,,,,,
2019,1,4,17,0,8,22.6,,,,,,,,
2019,1,4,18,0,0,22.1,,,,,,,,
2019,1,4,19,0,0,21.6,,,,,,,,
2019,1,4,20,0,0,21.1,,,,,,,,
2019,1,4,21,0,0,20.6,,,,,,,,
2019,1,4,22,0,0,20.2,,,,,,,,
2019,1,4,23,0,0,19.8,,,,,,,,
2019,1,5,0,0,0,19.6,,,,,,,,
2019,1,5,1,0,0,19.4,,,,,,,,
2019,1,5,2,0,0,19.3,,,,,,,,
2019,1,5,3,0,0,19.2,,,,,,,,
2019,1,5,4,0,0,19.1,,,,,,,,
2019,1,5,5,0,0,19,,,,,,,,
2019,1,5,6,0,0,18.9,,,,,,,,
2019,1,5,7,0,11,19.5,,,,,,,,
2019,1,5,8,0,72,20.1,,,,,,,,
2019,1,5,9,0,87,20.6,,,,,,,,
2019,1,5,10,0,57,20.9,,,,,,,,
2019,1,5,11,0,165,21,,,,,,,,
2019,1,5,12,0,208,20.9,,,,,,,,
2019,1,5,13,0,187,20.8,,,,,,,,
2019,1,5,14,0,109,20.4,,,,,,,,
2019,1,5,15,0,126,20,,,,,,,,
2019,1,5,16,0,178,19.5,,,,,,,,
2019,1,5,17,0,14,19.1,,,,,,,,
2019,1,5,18,0,0,19.1,,,,,,,,
2019,1,5,19,0,0,19.1,,,,,,,,
2019,1,5,20,0,0,19.1,,,,,,,,
2019,1,5,21,0,0,19.1,,,,,,,,
2019,1,5,22,0,0,19.1,,,,,,,,
2019,1,5,23,0,0,19,,,,,,,,
2019,1,6,0,0,0,18.8,,,,,,,,
2019,1,6,1,0,0,18.6,,,,,,,,
2019,1,6,2,0,0,18.3,,,,,,,,
2019,1,6,3,0,0,18.1,,,,,,,,
2019,1,6,4,0,0,18,,,,,,,,
2019,1,6,5,0,0,18.1,,,,,,,,
2019,1,6,6,0,0,18.1,,,,,,,,
2019,1,6,7,0,5,18.4,,,,,,,,
2019,1,6,8,0,25,18.7,,,,,,,,
2019,1,6,9,0,42,19.1,,,,,,,,
2019,1,6,10,0,61,19.5,,,,,,,,
2019,1,6,11,0,95,19.6,,,,,,,,
2019,1,6,12,0,170,19.6,,,,,,,,
2019,1,6,13,0,107,19.6,,,,,,,,
2019,1,6,14,0,72,19.7,,,,,,,,
2019,1,6,15,0,122,19.6,,,,,,,,
2019,1,6,16,0,61,19.3,,,,,,,,
2019,1,6,17,0,8,19.1,,,,,,,,
2019,1,6,18,0,0,19.1,,,,,,,,
2019,1,6,19,0,0,19.2,,,,,,,,
2019,1,6,20,0,0,19.3,,,,,,,,
2019,1,6,21,0,0,19.3,,,,,,,,
2019,1,6,22,0,0,19.3,,,,,,,,
2019,1,6,23,0,0,19.4,,,,,,,,
2019,1,7,0,0,0,19.4,,,,,,,,
2019,1,7,1,0,0,19.4,,,,,,,,
2019,1,7,2,0,0,19.3,,,,,,,,
2019,1,7,3,0,0,19.2,,,,,,,,
2019,1,7,4,0,0,19.2,,,,,,,,
2019,1,7,5,0,0,19.3,,,,,,,,
2019,1,7,6,0,0,19.3,,,,,,,,
2019,1,7,7,0,16,19.8,,,,,,,,
2019,1,7,8,0,190,20.6,,,,,,,,
2019,1,7,9,0,339,21.2,,,,,,,,
2019,1,7,10,0,399,21.8,,,,,,,,
2019,1,7,11,0,289,22.2,,,,,,,,
2019,1,7,12,0,596,22.5,,,,,,,,
2019,1,7,13,0,137,22.6,,,,,,,,
2019,1,7,14,0,200,22.6,,,,,,,,
2019,1,7,15,0,127,22.5,,,,,,,,
2019,1,7,16,0,189,22.1,,,,,,,,
2019,1,7,17,0,13,21.4,,,,,,,,
2019,1,7,18,0,0,21.3,,,,,,,,
2019,1,7,19,0,0,21.4,,,,,,,,
2019,1,7,20,0,0,21.4,,,,,,,,
2019,1,7,21,0,0,21.4,,,,,,,,
2019,1,7,22,0,0,21.3,,,,,,,,
2019,1,7,23,0,0,20.9,,,,,,,,
2019,1,8,0,0,0,20.8,,,,,,,,
2019,1,8,1,0,0,20.5,,,,,,,,
2019,1,8,2,0,0,20.3,,,,,,,,
2019,1,8,3,0,0,20.1,,,,,,,,
2019,1,8,4,0,0,19.9,,,,,,,,
2019,1,8,5,0,0,19.8,,,,,,,,
2019,1,8,6,0,0,19.7,,,,,,,,
2019,1,8,7,0,21,19.9,,,,,,,,
2019,1,8,8,0,182,20.2,,,,,,,,
2019,1,8,9,0,82,20.5,,,,,,,,
2019,1,8,10,0,160,20.7,,,,,,,,
2019,1,8,11,0,108,20.8,,,,,,,,
2019,1,8,12,0,285,20.7,,,,,,,,
2019,1,8,13,0,319,20.6,,,,,,,,
2019,1,8,14,0,285,20.5,,,,,,,,
2019,1,8,15,0,183,20.3,,,,,,,,
2019,1,8,16,0,49,20.1,,,,,,,,
2019,1,8,17,0,8,19.9,,,,,,,,
2019,1,8,18,0,0,19.9,,,,,,,,
2019,1,8,19,0,0,19.9,,,,,,,,
2019,1,8,20,0,0,19.8,,,,,,,,
2019,1,8,21,0,0,19.6,,,,,,,,
