time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),apparent_temperature (°C),rain (mm),showers (mm),cloud_cover (%),cloud_cover_low (%),cloud_cover_mid (%),cloud_cover_high (%),evapotranspiration (mm),shortwave_radiation_instant (W/m²),direct_radiation_instant (W/m²),diffuse_radiation_instant (W/m²),direct_normal_irradiance_instant (W/m²),global_tilted_irradiance_instant (W/m²),terrestrial_radiation_instant (W/m²)
2024-11-05T00:00,23.0,77,18.8,25.3,0.00,0.00,44,44,0,0,0.03,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-05T01:00,22.9,78,18.9,25.3,0.00,0.00,47,47,0,0,0.03,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-05T02:00,22.8,78,18.8,25.2,0.00,0.00,67,54,0,37,0.03,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-05T03:00,22.8,76,18.4,25.0,0.00,0.00,51,50,0,17,0.03,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-05T04:00,22.4,79,18.6,24.9,0.00,0.00,56,56,0,2,0.02,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-05T05:00,22.0,82,18.8,24.7,0.00,0.00,68,68,0,1,0.02,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-05T06:00,21.9,84,19.1,24.7,0.00,0.10,89,78,79,0,0.02,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-05T07:00,22.1,85,19.4,25.1,0.00,0.40,92,81,85,0,0.02,32.1,6.4,25.7,33.4,21.7,267.4
2024-11-05T08:00,23.0,80,19.4,25.4,0.00,0.20,93,64,84,5,0.04,78.6,29.3,49.3,74.6,78.6,546.8
2024-11-05T09:00,23.5,78,19.5,25.6,0.00,0.00,91,57,78,7,0.09,187.8,86.3,101.5,154.4,187.8,777.9
2024-11-05T10:00,23.9,76,19.4,25.7,0.00,0.00,97,82,87,7,0.13,212.5,91.5,121.0,134.8,212.5,945.2
2024-11-05T11:00,24.2,75,19.5,25.8,0.00,0.00,92,61,72,26,0.14,250.5,113.3,137.2,152.1,250.5,1037.1
2024-11-05T12:00,24.5,74,19.6,26.0,0.00,0.00,90,56,71,22,0.18,342.5,193.7,148.8,257.4,342.5,1047.4
2024-11-05T13:00,23.9,77,19.6,25.7,0.00,0.00,88,73,64,18,0.14,201.2,94.9,106.3,135.3,201.2,975.4
2024-11-05T14:00,23.5,78,19.5,25.4,0.00,0.00,99,97,82,2,0.10,115.7,46.5,69.2,78.3,115.7,826.0
2024-11-05T15:00,23.1,78,19.1,24.7,0.00,0.00,99,98,80,0,0.06,33.7,2.5,31.2,5.8,33.7,609.4
2024-11-05T16:00,22.9,76,18.4,24.2,0.00,0.00,100,99,88,5,0.05,15.6,1.4,14.2,5.8,15.6,340.3
2024-11-05T17:00,22.4,79,18.5,23.8,0.00,0.00,100,100,100,7,0.05,0.6,0.0,0.6,0.0,0.5,37.1
2024-11-05T18:00,22.0,76,17.6,22.9,0.00,0.10,100,100,100,16,0.06,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-05T19:00,21.7,72,16.4,21.9,0.00,0.10,100,100,86,13,0.06,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-05T20:00,21.5,71,16.0,21.5,0.00,0.00,100,100,100,15,0.06,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-05T21:00,21.4,70,15.7,21.5,0.00,0.00,100,100,100,4,0.06,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-05T22:00,21.3,70,15.6,21.3,0.00,0.00,100,100,100,0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-05T23:00,21.2,69,15.3,21.3,0.00,0.00,100,100,100,0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-06T00:00,21.1,70,15.4,21.4,0.00,0.00,99,94,98,0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-06T01:00,21.0,71,15.5,21.4,0.00,0.00,100,100,100,0,0.04,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-06T02:00,20.9,72,15.7,21.3,0.00,0.00,100,100,100,0,0.04,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-06T03:00,20.9,71,15.4,21.0,0.00,0.00,100,100,95,18,0.04,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-06T04:00,20.9,69,15.0,20.8,0.00,0.00,100,100,100,13,0.04,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-06T05:00,20.9,69,15.0,20.8,0.00,0.00,99,99,89,30,0.05,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-06T06:00,20.9,69,15.0,20.8,0.00,0.00,94,93,89,31,0.04,0.0,0.0,0.0,0.0,0.0,0.0
2024-11-06T07:00,20.8,70,15.1,20.8,0.00,0.00,100,100,92,30,0.05,23.6,0.0,23.6,0.0,15.9,263.8
2024-11-06T08:00,21.0,67,14.7,20.7,0.00,0.00,97,96,90,24,0.07,52.1,2.7,49.4,6.8,52.1,542.9
2024-11-06T09:00,21.2,69,15.3,21.1,0.00,0.00,100,89,100,29,0.10,102.7,22.2,80.5,39.9,102.7,773.9
2024-11-06T10:00,21.4,69,15.5,21.5,0.00,0.00,100,100,98,21,0.12,143.9,19.6,124.3,29.0,143.9,941.0
