time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),apparent_temperature (°C),rain (mm),cloud_cover (%),cloud_cover_low (%),cloud_cover_mid (%),cloud_cover_high (%),shortwave_radiation_instant (W/m²),direct_radiation_instant (W/m²),diffuse_radiation_instant (W/m²),direct_normal_irradiance_instant (W/m²),terrestrial_radiation_instant (W/m²)
2023-01-01T00:00,18.3,88,16.2,17.5,0.00,100,70,100,0,51.4,3.2,48.1,12.3,368.2
2023-01-01T01:00,19.0,84,16.3,18.3,0.00,99,52,99,0,79.1,0.0,79.1,0.0,610.0
2023-01-01T02:00,20.1,80,16.5,19.4,0.00,100,83,100,0,198.7,41.5,157.2,74.0,794.2
2023-01-01T03:00,20.0,81,16.7,19.5,0.00,100,74,100,0,125.0,0.0,125.0,0.0,908.4
2023-01-01T04:00,19.7,83,16.7,19.3,0.10,100,96,100,0,117.4,3.0,114.4,4.5,944.8
2023-01-01T05:00,19.5,85,16.8,19.1,0.00,100,81,100,0,119.2,0.0,119.2,0.0,900.8
2023-01-01T06:00,19.4,85,16.8,19.3,0.10,100,88,100,0,107.8,1.8,105.9,3.3,779.6
2023-01-01T07:00,19.4,85,16.9,19.2,0.10,96,89,62,0,88.8,0.0,88.8,0.0,589.3
2023-01-01T08:00,19.3,86,16.8,18.8,0.00,100,64,100,0,81.7,3.6,78.0,15.0,342.9
2023-01-01T09:00,18.9,85,16.4,18.5,0.00,100,67,100,0,8.2,0.6,7.6,6.5,57.1
2023-01-01T10:00,18.9,84,16.1,18.4,0.00,87,82,33,0,0.0,0.0,0.0,0.0,0.0
2023-01-01T11:00,18.7,85,16.0,18.0,0.00,85,55,68,0,0.0,0.0,0.0,0.0,0.0
2023-01-01T12:00,18.6,89,16.8,18.2,0.00,98,93,73,0,0.0,0.0,0.0,0.0,0.0
2023-01-01T13:00,18.8,88,16.8,18.4,0.00,100,86,99,0,0.0,0.0,0.0,0.0,0.0
2023-01-01T14:00,18.7,88,16.7,18.2,0.10,77,24,70,0,0.0,0.0,0.0,0.0,0.0
2023-01-01T15:00,18.4,88,16.3,17.9,0.00,100,70,100,0,0.0,0.0,0.0,0.0,0.0
2023-01-01T16:00,18.3,88,16.2,18.1,0.00,100,45,100,0,0.0,0.0,0.0,0.0,0.0
2023-01-01T17:00,18.3,88,16.2,18.0,0.00,100,78,99,0,0.0,0.0,0.0,0.0,0.0
2023-01-01T18:00,18.1,88,16.1,17.8,0.00,94,69,80,0,0.0,0.0,0.0,0.0,0.0
2023-01-01T19:00,18.1,89,16.2,18.2,0.00,100,54,100,0,0.0,0.0,0.0,0.0,0.0
2023-01-01T20:00,18.1,90,16.4,18.5,0.10,100,100,100,0,0.0,0.0,0.0,0.0,0.0
2023-01-01T21:00,18.0,90,16.4,18.1,0.00,100,23,100,3,0.0,0.0,0.0,0.0,0.0
2023-01-01T22:00,17.9,90,16.2,18.3,0.00,100,39,100,0,0.0,0.0,0.0,0.0,0.0
2023-01-01T23:00,18.1,90,16.4,18.5,0.00,100,99,94,0,2.6,0.0,2.6,0.0,84.1
2023-01-02T00:00,18.1,92,16.8,18.4,0.00,100,95,100,0,45.0,0.0,45.0,0.0,367.4
2023-01-02T01:00,18.7,91,17.1,19.0,0.60,100,0,100,0,49.5,2.5,47.0,5.7,609.6
2023-01-02T02:00,18.6,90,17.0,18.7,1.10,100,38,100,0,60.6,3.4,57.3,6.0,794.5
2023-01-02T03:00,18.8,90,17.1,19.2,1.00,100,57,100,0,95.4,1.1,94.3,1.6,909.4
2023-01-02T04:00,18.7,90,17.0,19.0,0.80,100,46,100,0,90.1,2.0,88.1,3.0,946.4
2023-01-02T05:00,18.9,88,16.9,18.8,0.40,100,16,100,0,122.2,1.0,121.2,1.5,903.0
2023-01-02T06:00,18.3,91,16.8,18.2,0.50,100,96,100,0,63.6,0.0,63.6,0.0,782.3
2023-01-02T07:00,18.5,89,16.7,18.2,0.10,91,88,43,0,97.5,12.8,84.7,30.6,592.3
2023-01-02T08:00,18.5,88,16.5,18.0,0.10,100,100,50,0,100.2,21.9,78.2,89.7,346.1
2023-01-02T09:00,17.9,89,16.0,17.2,0.10,100,100,69,0,7.0,0.0,7.0,0.0,60.5
2023-01-02T10:00,18.1,88,16.1,17.9,0.10,100,100,100,0,0.0,0.0,0.0,0.0,0.0
2023-01-02T11:00,17.9,91,16.4,17.8,0.60,100,100,100,0,0.0,0.0,0.0,0.0,0.0
2023-01-02T12:00,18.1,90,16.4,18.0,0.90,100,100,100,0,0.0,0.0,0.0,0.0,0.0
2023-01-02T13:00,17.8,88,15.8,17.4,0.50,100,100,100,0,0.0,0.0,0.0,0.0,0.0
2023-01-02T14:00,17.3,89,15.5,17.0,0.50,100,100,100,0,0.0,0.0,0.0,0.0,0.0
2023-01-02T15:00,17.1,89,15.3,16.7,0.30,100,100,86,0,0.0,0.0,0.0,0.0,0.0
2023-01-02T16:00,16.9,89,15.0,16.5,0.20,100,100,94,0,0.0,0.0,0.0,0.0,0.0
2023-01-02T17:00,16.8,88,14.9,16.6,0.20,100,100,100,0,0.0,0.0,0.0,0.0,0.0
2023-01-02T18:00,16.9,86,14.6,16.5,0.10,100,84,99,0,0.0,0.0,0.0,0.0,0.0
2023-01-02T19:00,16.7,87,14.6,16.8,0.00,100,93,100,17,0.0,0.0,0.0,0.0,0.0
2023-01-02T20:00,16.7,87,14.6,17.2,0.00,100,100,100,78,0.0,0.0,0.0,0.0,0.0
2023-01-02T21:00,16.6,89,14.8,17.4,0.00,100,99,66,50,0.0,0.0,0.0,0.0,0.0
2023-01-02T22:00,16.8,88,14.9,17.4,0.00,100,100,23,50,0.0,0.0,0.0,0.0,0.0
2023-01-02T23:00,16.8,89,15.0,17.5,0.00,100,100,8,68,5.3,0.0,5.3,0.0,82.9
2023-01-03T00:00,17.1,88,15.1,17.3,0.10,100,100,16,72,58.0,3.2,54.8,12.4,366.6
2023-01-03T01:00,17.7,86,15.3,17.8,0.10,100,100,100,6,109.0,2.5,106.5,5.7,609.5
2023-01-03T02:00,17.4,86,15.0,17.2,0.10,100,100,91,4,80.9,1.1,79.8,2.0,795.0
2023-01-03T03:00,18.0,83,15.1,17.1,0.00,100,100,99,0,248.0,38.2,209.9,59.3,910.5
2023-01-03T04:00,18.0,82,14.9,17.3,0.10,100,100,99,0,277.5,39.5,238.0,58.9,948.1
2023-01-03T05:00,17.7,79,14.1,16.7,0.00,100,100,38,0,227.9,6.8,221.1,10.6,905.4
2023-01-03T06:00,17.5,77,13.5,16.2,0.10,100,100,96,0,220.4,53.5,166.9,96.4,785.1
