time,shortwave_radiation_instant (W/m²),direct_radiation_instant (W/m²),diffuse_radiation_instant (W/m²),direct_normal_irradiance_instant (W/m²),terrestrial_radiation_instant (W/m²)
2019-01-01T00:00,48.2,0.0,48.2,0.0,368.1
2019-01-01T01:00,128.6,16.1,112.5,46.1,609.9
2019-01-01T02:00,104.4,4.5,99.9,9.0,794.1
2019-01-01T03:00,187.5,7.4,180.1,12.2,908.4
2019-01-01T04:00,194.4,13.2,181.2,19.9,944.8
2019-01-01T05:00,164.8,17.4,147.3,26.5,900.9
2019-01-01T06:00,155.7,8.3,147.4,13.9,779.7
2019-01-01T07:00,74.3,6.0,68.3,12.3,589.4
2019-01-01T08:00,29.9,0.0,29.9,0.0,343.0
2019-01-01T09:00,7.9,0.0,7.9,0.0,57.3
2019-01-01T10:00,0.0,0.0,0.0,0.0,0.0
2019-01-01T11:00,0.0,0.0,0.0,0.0,0.0
2019-01-01T12:00,0.0,0.0,0.0,0.0,0.0
2019-01-01T13:00,0.0,0.0,0.0,0.0,0.0
2019-01-01T14:00,0.0,0.0,0.0,0.0,0.0
2019-01-01T15:00,0.0,0.0,0.0,0.0,0.0
2019-01-01T16:00,0.0,0.0,0.0,0.0,0.0
2019-01-01T17:00,0.0,0.0,0.0,0.0,0.0
2019-01-01T18:00,0.0,0.0,0.0,0.0,0.0
2019-01-01T19:00,0.0,0.0,0.0,0.0,0.0
2019-01-01T20:00,0.0,0.0,0.0,0.0,0.0
2019-01-01T21:00,0.0,0.0,0.0,0.0,0.0
2019-01-01T22:00,0.0,0.0,0.0,0.0,0.0
2019-01-01T23:00,2.6,0.0,2.6,0.0,84.0
2019-01-02T00:00,30.6,1.6,29.0,9.2,367.3
2019-01-02T01:00,69.3,2.5,66.8,7.1,609.6
2019-01-02T02:00,125.8,15.7,110.1,31.4,794.5
2019-01-02T03:00,106.0,4.2,101.7,7.0,909.3
2019-01-02T04:00,125.6,4.1,121.5,6.1,946.4
2019-01-02T05:00,89.2,1.9,87.3,2.9,903.1
2019-01-02T06:00,103.2,16.6,86.6,27.6,782.3
2019-01-02T07:00,82.1,0.0,82.1,0.0,592.4
2019-01-02T08:00,21.9,0.0,21.9,0.0,346.2
2019-01-02T09:00,3.8,0.0,3.8,0.0,60.5
2019-01-02T10:00,0.0,0.0,0.0,0.0,0.0
2019-01-02T11:00,0.0,0.0,0.0,0.0,0.0
2019-01-02T12:00,0.0,0.0,0.0,0.0,0.0
2019-01-02T13:00,0.0,0.0,0.0,0.0,0.0
2019-01-02T14:00,0.0,0.0,0.0,0.0,0.0
2019-01-02T15:00,0.0,0.0,0.0,0.0,0.0
2019-01-02T16:00,0.0,0.0,0.0,0.0,0.0
2019-01-02T17:00,0.0,0.0,0.0,0.0,0.0
2019-01-02T18:00,0.0,0.0,0.0,0.0,0.0
2019-01-02T19:00,0.0,0.0,0.0,0.0,0.0
2019-01-02T20:00,0.0,0.0,0.0,0.0,0.0
2019-01-02T21:00,0.0,0.0,0.0,0.0,0.0
2019-01-02T22:00,0.0,0.0,0.0,0.0,0.0
2019-01-02T23:00,2.6,0.0,2.6,0.0,82.8
2019-01-03T00:00,61.3,4.8,56.4,27.7,366.5
2019-01-03T01:00,117.6,23.5,94.1,67.6,609.4
2019-01-03T02:00,207.8,89.9,118.0,179.7,794.9
2019-01-03T03:00,120.8,15.9,104.9,26.2,910.4
2019-01-03T04:00,143.8,20.3,123.6,30.6,948.1
2019-01-03T05:00,84.4,5.8,78.6,8.8,905.4
2019-01-03T06:00,75.6,0.9,74.7,1.5,785.1
2019-01-03T07:00,45.4,0.0,45.4,0.0,595.6
2019-01-03T08:00,22.0,0.0,22.0,0.0,349.6
2019-01-03T09:00,4.9,0.0,4.9,0.0,63.9
2019-01-03T10:00,0.0,0.0,0.0,0.0,0.0
2019-01-03T11:00,0.0,0.0,0.0,0.0,0.0
2019-01-03T12:00,0.0,0.0,0.0,0.0,0.0
2019-01-03T13:00,0.0,0.0,0.0,0.0,0.0
2019-01-03T14:00,0.0,0.0,0.0,0.0,0.0
2019-01-03T15:00,0.0,0.0,0.0,0.0,0.0
2019-01-03T16:00,0.0,0.0,0.0,0.0,0.0
2019-01-03T17:00,0.0,0.0,0.0,0.0,0.0
2019-01-03T18:00,0.0,0.0,0.0,0.0,0.0
2019-01-03T19:00,0.0,0.0,0.0,0.0,0.0
2019-01-03T20:00,0.0,0.0,0.0,0.0,0.0
2019-01-03T21:00,0.0,0.0,0.0,0.0,0.0
2019-01-03T22:00,0.0,0.0,0.0,0.0,0.0
2019-01-03T23:00,8.0,0.0,8.0,0.0,81.8
2019-01-04T00:00,124.4,43.6,80.8,249.5,365.9
2019-01-04T01:00,262.7,115.2,147.5,331.5,609.3
2019-01-04T02:00,495.6,366.4,129.3,732.3,795.4
2019-01-04T03:00,540.8,393.4,147.4,647.2,911.6
2019-01-04T04:00,616.1,474.2,141.9,715.5,950.0
2019-01-04T05:00,595.8,472.5,123.2,714.5,907.8
2019-01-04T06:00,509.3,395.8,113.5,655.4,788.1
2019-01-04T07:00,339.3,215.1,124.3,435.4,598.8
2019-01-04T08:00,178.0,102.2,75.7,301.2,353.0
2019-01-04T09:00,27.2,11.7,15.5,66.7,67.4
2019-01-04T10:00,0.0,0.0,0.0,0.0,0.0
2019-01-04T11:00,0.0,0.0,0.0,0.0,0.0
2019-01-04T12:00,0.0,0.0,0.0,0.0,0.0
2019-01-04T13:00,0.0,0.0,0.0,0.0,0.0
2019-01-04T14:00,0.0,0.0,0.0,0.0,0.0
2019-01-04T15:00,0.0,0.0,0.0,0.0,0.0
2019-01-04T16:00,0.0,0.0,0.0,0.0,0.0
2019-01-04T17:00,0.0,0.0,0.0,0.0,0.0
2019-01-04T18:00,0.0,0.0,0.0,0.0,0.0
2019-01-04T19:00,0.0,0.0,0.0,0.0,0.0
2019-01-04T20:00,0.0,0.0,0.0,0.0,0.0
2019-01-04T21:00,0.0,0.0,0.0,0.0,0.0
2019-01-04T22:00,0.0,0.0,0.0,0.0,0.0
2019-01-04T23:00,2.7,0.0,2.7,0.0,80.8
2019-01-05T00:00,45.3,0.0,45.3,0.0,365.4
2019-01-05T01:00,195.9,52.1,143.8,149.9,609.3
2019-01-05T02:00,223.7,43.8,179.9,87.6,796.1
2019-01-05T03:00,204.7,22.3,182.4,36.6,913.0
2019-01-05T04:00,222.0,43.6,178.4,65.6,952.0
2019-01-05T05:00,196.1,15.5,180.5,23.4,910.4
2019-01-05T06:00,207.7,32.3,175.4,53.3,791.1
2019-01-05T07:00,128.7,31.7,96.9,64.0,602.2
2019-01-05T08:00,48.7,0.0,48.7,0.0,356.6
2019-01-05T09:00,10.8,0.7,10.2,3.7,71.0
2019-01-05T10:00,0.0,0.0,0.0,0.0,0.0
2019-01-05T11:00,0.0,0.0,0.0,0.0,0.0
2019-01-05T12:00,0.0,0.0,0.0,0.0,0.0
2019-01-05T13:00,0.0,0.0,0.0,0.0,0.0
2019-01-05T14:00,0.0,0.0,0.0,0.0,0.0
2019-01-05T15:00,0.0,0.0,0.0,0.0,0.0
2019-01-05T16:00,0.0,0.0,0.0,0.0,0.0
2019-01-05T17:00,0.0,0.0,0.0,0.0,0.0
2019-01-05T18:00,0.0,0.0,0.0,0.0,0.0
2019-01-05T19:00,0.0,0.0,0.0,0.0,0.0
2019-01-05T20:00,0.0,0.0,0.0,0.0,0.0
2019-01-05T21:00,0.0,0.0,0.0,0.0,0.0
2019-01-05T22:00,0.0,0.0,0.0,0.0,0.0
2019-01-05T23:00,2.7,0.0,2.7,0.0,79.9
2019-01-06T00:00,27.6,1.6,26.0,9.3,364.9
2019-01-06T01:00,69.5,0.0,69.5,0.0,609.5
2019-01-06T02:00,66.4,0.0,66.4,0.0,796.9
2019-01-06T03:00,109.3,5.3,104.0,8.7,914.5
2019-01-06T04:00,160.2,8.1,152.1,12.2,954.1
2019-01-06T05:00,187.4,8.7,178.7,13.1,913.1
2019-01-06T06:00,170.9,16.6,154.2,27.3,794.2
2019-01-06T07:00,92.7,4.3,88.4,8.6,605.7
2019-01-06T08:00,71.7,2.2,69.5,6.4,360.2
2019-01-06T09:00,11.5,0.3,11.2,1.9,74.6
2019-01-06T10:00,0.0,0.0,0.0,0.0,0.0
2019-01-06T11:00,0.0,0.0,0.0,0.0,0.0
2019-01-06T12:00,0.0,0.0,0.0,0.0,0.0
