time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),apparent_temperature (°C),rain (mm),cloud_cover (%),cloud_cover_low (%),cloud_cover_mid (%),cloud_cover_high (%)
2019-01-01T00:00,16.7,82,13.6,15.4,0.10,97,53,20,0
2019-01-01T01:00,17.2,85,14.6,16.0,0.10,100,100,42,0
2019-01-01T02:00,17.1,80,13.6,15.8,0.10,100,100,47,0
2019-01-01T03:00,18.0,77,14.0,16.6,0.00,100,100,43,0
2019-01-01T04:00,17.9,78,14.0,16.6,0.10,100,100,42,0
2019-01-01T05:00,17.5,81,14.2,15.9,0.10,100,100,59,0
2019-01-01T06:00,17.3,81,14.0,15.5,0.10,100,100,82,1
2019-01-01T07:00,17.1,81,13.7,15.9,0.20,100,100,89,0
2019-01-01T08:00,16.6,82,13.6,15.0,0.10,100,100,78,4
2019-01-01T09:00,16.6,83,13.7,14.9,0.10,100,100,63,44
2019-01-01T10:00,16.4,82,13.4,14.7,0.10,100,100,69,42
2019-01-01T11:00,16.3,83,13.5,14.8,0.10,100,100,61,36
2019-01-01T12:00,16.7,81,13.4,14.9,0.10,100,100,48,5
2019-01-01T13:00,16.8,79,13.1,14.7,0.00,100,100,55,0
2019-01-01T14:00,16.6,82,13.4,14.6,0.10,100,100,93,0
2019-01-01T15:00,16.4,82,13.4,14.4,0.10,100,100,92,0
2019-01-01T16:00,16.2,83,13.4,14.4,0.10,100,100,91,0
2019-01-01T17:00,16.2,83,13.3,14.5,0.00,100,99,89,0
2019-01-01T18:00,16.1,83,13.2,14.5,0.00,99,98,93,0
2019-01-01T19:00,16.0,84,13.3,14.6,0.10,99,98,95,0
2019-01-01T20:00,16.0,84,13.4,14.8,0.20,99,98,99,9
2019-01-01T21:00,15.9,86,13.5,14.8,0.30,100,100,100,0
2019-01-01T22:00,15.9,86,13.5,14.7,0.20,99,30,99,2
2019-01-01T23:00,15.7,88,13.7,14.7,0.40,99,35,99,0
2019-01-02T00:00,16.3,88,14.4,15.3,0.30,99,73,98,0
2019-01-02T01:00,17.0,86,14.6,15.6,0.10,95,18,94,0
2019-01-02T02:00,17.4,84,14.6,16.2,0.10,98,61,97,0
2019-01-02T03:00,17.4,85,14.9,16.5,0.10,98,96,78,1
2019-01-02T04:00,17.7,83,14.8,16.9,0.10,100,99,94,27
2019-01-02T05:00,17.7,85,15.1,17.1,0.10,99,98,95,0
2019-01-02T06:00,18.0,83,15.1,17.3,0.10,99,98,75,0
2019-01-02T07:00,17.8,85,15.2,17.0,0.10,99,99,94,0
2019-01-02T08:00,17.4,84,14.7,16.5,0.20,100,99,99,0
2019-01-02T09:00,17.3,85,14.8,16.5,0.40,100,100,97,0
2019-01-02T10:00,17.2,85,14.6,16.2,0.30,100,100,100,0
2019-01-02T11:00,17.2,86,14.8,16.3,0.30,100,97,100,0
2019-01-02T12:00,17.6,89,15.8,17.0,0.40,100,40,100,0
2019-01-02T13:00,17.6,90,16.0,16.9,0.50,100,77,100,0
2019-01-02T14:00,17.6,90,15.9,17.1,0.40,100,100,99,0
2019-01-02T15:00,17.5,90,15.8,17.2,0.50,100,100,100,0
2019-01-02T16:00,17.4,91,15.8,17.3,0.70,100,100,100,0
2019-01-02T17:00,17.2,90,15.6,16.9,0.50,100,100,100,0
2019-01-02T18:00,17.0,90,15.3,16.8,0.40,100,100,99,2
2019-01-02T19:00,17.0,90,15.3,17.1,0.60,94,84,93,0
2019-01-02T20:00,16.9,89,15.1,16.9,0.70,100,31,100,0
2019-01-02T21:00,16.8,90,15.1,16.7,0.40,100,32,100,0
2019-01-02T22:00,16.8,90,15.2,16.7,0.50,85,36,83,0
2019-01-02T23:00,17.0,87,14.7,16.5,0.10,100,6,100,0
2019-01-03T00:00,17.6,89,15.8,17.5,1.90,90,100,88,0
2019-01-03T01:00,18.1,89,16.2,17.7,1.50,64,1,63,0
2019-01-03T02:00,18.6,86,16.2,17.8,0.30,100,0,100,11
2019-01-03T03:00,18.1,89,16.2,17.4,0.70,100,16,100,0
2019-01-03T04:00,18.7,84,16.0,18.2,0.50,99,88,99,0
2019-01-03T05:00,18.2,88,16.3,18.1,0.40,100,97,100,0
2019-01-03T06:00,18.3,87,16.2,17.8,0.30,100,86,99,0
2019-01-03T07:00,17.9,89,16.0,17.3,0.30,100,96,100,0
2019-01-03T08:00,17.6,90,15.9,17.1,0.30,100,93,100,0
2019-01-03T09:00,17.6,88,15.7,17.1,0.20,98,35,98,0
2019-01-03T10:00,17.5,90,15.9,17.0,0.30,96,58,95,0
2019-01-03T11:00,18.0,85,15.5,16.9,0.20,91,1,91,0
2019-01-03T12:00,18.6,89,16.7,18.0,0.10,95,0,91,0
2019-01-03T13:00,19.0,88,16.9,18.4,0.00,85,51,82,0
2019-01-03T14:00,19.4,86,17.0,18.8,0.00,67,3,67,0
2019-01-03T15:00,19.6,87,17.3,19.3,0.00,70,70,2,0
2019-01-03T16:00,19.6,87,17.4,19.5,0.00,75,75,4,0
2019-01-03T17:00,20.0,86,17.6,20.0,0.00,55,54,5,0
2019-01-03T18:00,20.0,87,17.7,20.1,0.00,35,33,7,0
2019-01-03T19:00,20.1,87,18.0,20.6,0.00,41,40,6,0
2019-01-03T20:00,20.4,87,18.2,21.2,0.00,41,41,2,0
2019-01-03T21:00,20.4,88,18.4,21.5,0.00,25,24,3,0
2019-01-03T22:00,20.3,90,18.5,21.6,0.00,22,22,2,0
2019-01-03T23:00,20.5,89,18.7,22.1,0.00,53,53,0,0
2019-01-04T00:00,21.8,88,19.8,23.6,0.00,41,27,1,0
2019-01-04T01:00,23.6,84,20.7,25.6,0.00,0,0,0,0
2019-01-04T02:00,25.1,76,20.5,26.9,0.00,7,7,1,0
2019-01-04T03:00,26.2,70,20.2,28.5,0.00,35,34,3,0
2019-01-04T04:00,26.8,69,20.7,30.4,0.00,26,25,1,0
2019-01-04T05:00,26.9,67,20.3,30.3,0.00,14,12,4,0
2019-01-04T06:00,26.6,64,19.2,28.3,0.00,26,26,1,0
2019-01-04T07:00,25.2,69,19.0,26.2,0.00,28,25,6,0
2019-01-04T08:00,23.3,81,19.9,25.2,0.00,36,4,35,0
2019-01-04T09:00,21.7,90,19.9,24.2,0.00,8,3,7,0
2019-01-04T10:00,20.2,96,19.5,22.9,0.00,36,33,9,0
2019-01-04T11:00,19.6,98,19.2,22.3,0.00,96,96,16,0
2019-01-04T12:00,19.5,98,19.1,22.0,0.00,100,100,67,0
2019-01-04T13:00,19.2,98,18.8,21.5,0.00,100,100,81,0
2019-01-04T14:00,19.2,98,18.8,21.5,0.00,100,100,70,0
2019-01-04T15:00,19.2,97,18.7,21.3,0.00,100,100,64,0
2019-01-04T16:00,19.3,96,18.6,21.6,0.00,100,100,57,0
2019-01-04T17:00,19.1,97,18.6,21.8,0.00,100,100,43,0
2019-01-04T18:00,19.0,97,18.5,21.6,0.00,100,100,18,0
2019-01-04T19:00,18.9,97,18.4,21.5,0.00,97,97,26,0
2019-01-04T20:00,18.8,97,18.3,21.6,0.00,100,100,10,0
2019-01-04T21:00,18.8,97,18.3,21.4,0.00,100,100,13,1
2019-01-04T22:00,18.8,97,18.3,21.6,0.00,100,100,59,0
2019-01-04T23:00,18.7,98,18.3,21.7,0.00,97,96,46,0
2019-01-05T00:00,19.7,94,18.8,22.3,0.00,100,62,5,0
2019-01-05T01:00,21.2,85,18.6,23.6,0.10,73,72,6,0
2019-01-05T02:00,21.9,81,18.5,24.1,0.10,100,100,10,0
2019-01-05T03:00,22.0,81,18.5,24.1,0.10,100,100,14,0
2019-01-05T04:00,21.6,83,18.5,23.6,0.10,100,100,16,0
2019-01-05T05:00,20.6,83,17.6,21.6,0.10,97,97,12,0
2019-01-05T06:00,19.9,82,16.8,20.5,0.10,97,97,3,0
2019-01-05T07:00,19.5,82,16.3,20.3,0.00,100,100,23,0
2019-01-05T08:00,18.8,82,15.8,19.2,0.00,100,100,8,1
2019-01-05T09:00,18.4,83,15.4,19.2,0.00,100,100,9,0
2019-01-05T10:00,18.1,83,15.2,18.7,0.00,100,100,16,6
2019-01-05T11:00,18.0,84,15.2,18.8,0.10,100,100,25,8
2019-01-05T12:00,18.8,86,16.4,20.1,0.10,100,100,13,4
2019-01-05T13:00,19.1,86,16.7,20.5,0.00,100,100,45,10
2019-01-05T14:00,18.8,88,16.8,20.3,0.10,84,77,37,27
2019-01-05T15:00,18.5,92,17.1,20.5,0.10,100,100,39,33
2019-01-05T16:00,18.6,92,17.4,20.8,0.60,100,100,72,25
2019-01-05T17:00,18.3,93,17.1,20.1,1.50,100,100,100,22
2019-01-05T18:00,17.7,92,16.4,19.4,1.90,100,100,100,0
2019-01-05T19:00,16.8,91,15.3,17.8,0.90,100,100,100,0
2019-01-05T20:00,16.9,90,15.3,18.7,0.20,100,100,100,0
2019-01-05T21:00,16.7,95,15.8,18.0,0.20,100,100,97,0
2019-01-05T22:00,16.7,94,15.7,17.5,0.00,96,96,52,0
2019-01-05T23:00,16.8,94,15.7,17.5,0.00,100,100,41,0
2019-01-06T00:00,17.6,92,16.3,18.9,0.30,100,100,100,0
2019-01-06T01:00,18.2,91,16.7,20.0,0.60,100,100,100,0
2019-01-06T02:00,18.2,90,16.6,20.3,0.80,100,100,89,0
2019-01-06T03:00,18.3,85,15.8,19.1,0.20,100,100,70,0
2019-01-06T04:00,18.4,83,15.5,18.5,0.10,97,96,72,9
2019-01-06T05:00,18.5,81,15.2,18.3,0.10,100,100,92,62
2019-01-06T06:00,18.4,81,15.1,17.9,0.10,100,99,71,86
2019-01-06T07:00,18.4,81,15.0,17.9,0.00,100,100,59,87
2019-01-06T08:00,18.1,82,15.0,17.5,0.00,99,94,69,91
2019-01-06T09:00,17.8,82,14.8,17.1,0.00,100,100,78,89
2019-01-06T10:00,17.7,82,14.6,16.8,0.00,99,98,77,0
2019-01-06T11:00,17.8,82,14.7,16.9,0.00,100,100,70,20
2019-01-06T12:00,18.2,83,15.4,17.7,0.00,95,33,58,0
2019-01-06T13:00,18.1,85,15.5,17.6,0.00,91,90,34,0
2019-01-06T14:00,18.3,84,15.5,17.7,0.00,98,98,41,0
2019-01-06T15:00,18.2,85,15.6,17.8,0.00,100,100,80,16
2019-01-06T16:00,18.1,86,15.7,17.9,0.00,99,99,97,14
2019-01-06T17:00,18.1,85,15.6,17.7,0.10,100,99,100,19
2019-01-06T18:00,18.0,85,15.5,17.6,0.10,100,38,100,0
2019-01-06T19:00,17.8,86,15.4,17.3,0.10,100,43,100,3
2019-01-06T20:00,17.8,85,15.3,17.2,0.00,97,39,96,4
2019-01-06T21:00,17.7,86,15.2,17.1,0.00,72,45,69,3
2019-01-06T22:00,17.6,86,15.2,16.9,0.00,49,26,45,5
2019-01-06T23:00,17.9,85,15.4,17.4,0.00,85,80,67,19
2019-01-07T00:00,19.4,83,16.5,19.1,0.10,100,26,50,21
2019-01-07T01:00,20.8,80,17.1,20.7,0.00,62,11,42,38
2019-01-07T02:00,21.8,75,17.1,21.2,0.00,59,14,41,30
2019-01-07T03:00,22.4,72,17.0,21.6,0.00,98,52,97,30
2019-01-07T04:00,22.7,71,17.1,22.3,0.00,97,60,96,32
2019-01-07T05:00,22.5,73,17.5,22.6,0.00,53,22,46,12
2019-01-07T06:00,22.8,73,17.7,23.0,0.00,53,19,41,34
2019-01-07T07:00,22.6,74,17.8,23.1,0.00,38,22,32,1
2019-01-07T08:00,21.9,78,17.9,22.5,0.00,42,20,31,12
2019-01-07T09:00,21.0,81,17.6,21.7,0.00,41,15,33,9
2019-01-07T10:00,20.1,84,17.4,21.0,0.00,31,16,29,0
2019-01-07T11:00,19.7,87,17.5,20.8,0.00,37,22,35,0
2019-01-07T12:00,19.2,92,17.8,20.8,0.00,41,17,53,0
2019-01-07T13:00,19.6,91,18.1,21.6,0.00,55,16,52,1
2019-01-07T14:00,20.0,87,17.7,22.2,0.00,59,26,38,33
2019-01-07T15:00,20.5,84,17.7,23.1,0.00,50,24,48,0
2019-01-07T16:00,18.8,91,17.3,20.8,0.00,74,70,68,0
2019-01-07T17:00,18.6,93,17.5,20.8,0.00,98,97,74,0
2019-01-07T18:00,18.8,96,18.1,21.4,0.10,99,99,78,0
2019-01-07T19:00,18.4,98,18.2,21.0,0.10,100,100,79,0
2019-01-07T20:00,18.9,98,18.6,21.4,0.10,98,98,71,0
2019-01-07T21:00,19.1,97,18.6,21.9,0.20,100,100,72,0
2019-01-07T22:00,19.0,91,17.5,20.3,0.30,100,100,70,0
2019-01-07T23:00,18.5,89,16.7,18.9,0.10,91,87,70,0
2019-01-08T00:00,19.1,90,17.4,20.4,0.10,97,98,53,0
2019-01-08T01:00,19.7,86,17.3,20.5,0.10,81,78,42,0
2019-01-08T02:00,19.8,84,17.0,20.2,0.10,83,81,38,0
2019-01-08T03:00,19.8,82,16.6,20.0,0.10,94,93,44,0
2019-01-08T04:00,19.7,81,16.4,19.8,0.10,97,97,47,0
2019-01-08T05:00,19.6,82,16.3,19.8,0.20,99,98,60,0
2019-01-08T06:00,19.5,82,16.3,19.5,0.20,100,100,44,0
2019-01-08T07:00,19.0,84,16.2,19.3,0.10,99,98,39,20
2019-01-08T08:00,19.0,83,16.1,19.4,0.10,98,98,37,0
2019-01-08T09:00,18.4,85,15.8,18.5,0.10,100,100,42,0
2019-01-08T10:00,18.2,84,15.5,18.2,0.10,100,100,42,0
2019-01-08T11:00,17.9,85,15.4,17.7,0.10,100,100,47,0
2019-01-08T12:00,18.7,86,16.3,18.8,0.10,100,100,48,0
2019-01-08T13:00,18.9,85,16.4,19.1,0.10,97,96,35,0
2019-01-08T14:00,18.7,86,16.4,18.8,0.10,100,100,45,0
2019-01-08T15:00,18.5,86,16.1,18.5,0.10,100,100,48,0
2019-01-08T16:00,18.1,86,15.8,18.1,0.20,100,100,76,0
2019-01-08T17:00,17.7,85,15.2,17.3,0.20,100,100,86,0
2019-01-08T18:00,17.4,84,14.7,16.9,0.10,93,93,19,0
2019-01-08T19:00,17.2,84,14.5,16.6,0.10,100,99,26,0
2019-01-08T20:00,17.0,84,14.3,16.4,0.10,100,99,23,0
2019-01-08T21:00,16.8,85,14.3,16.1,0.00,100,99,22,0
2019-01-08T22:00,16.9,84,14.2,15.9,0.00,100,100,22,0
2019-01-08T23:00,17.0,84,14.2,16.1,0.00,100,100,20,0
2019-01-09T00:00,17.9,83,15.0,17.1,0.00,98,97,29,0
2019-01-09T01:00,18.6,81,15.2,17.5,0.00,25,6,25,0
2019-01-09T02:00,19.3,77,15.3,18.0,0.00,99,98,21,0
2019-01-09T03:00,20.0,75,15.3,18.5,0.00,99,99,20,0
2019-01-09T04:00,19.7,77,15.5,18.2,0.10,99,99,18,0
2019-01-09T05:00,19.4,79,15.7,18.1,0.10,97,97,19,0
2019-01-09T06:00,19.6,79,15.8,18.3,0.10,98,98,24,0
2019-01-09T07:00,19.1,82,15.9,18.2,0.00,99,99,18,0
2019-01-09T08:00,19.0,82,15.9,18.3,0.00,98,98,7,0
2019-01-09T09:00,18.6,83,15.6,17.5,0.00,99,99,2,0
2019-01-09T10:00,18.3,83,15.3,17.4,0.00,96,96,0,0
