Fitur 1,Fitur 2,Nilai Pearson
KW,TEMPERATURE,0.666
KW,DEW_POINT,0.6134
KW,GHI,0.3209
KW,PRESSURE,-0.5123
KW,WIND_SPEED,-0.1493
KW,RELATIVE HUMIDITY,0.0467
KW,PRECIPITABLE WATER,0.5065
KW,CLOUD_TYPE,0.075
TEMPERATURE,DEW_POINT,0.9477
TEMPERATURE,GHI,0.4036
TEMPERATURE,PRESSURE,-0.8327
TEMPERATURE,WIND_SPEED,-0.3118
TEMPERATURE,RELATIVE HUMIDITY,0.1562
TEMPERATURE,PRECIPITABLE WATER,0.7805
TEMPERATURE,CLOUD_TYPE,0.041
DEW_POINT,GHI,0.2086
DEW_POINT,PRESSURE,-0.8579
DEW_POINT,WIND_SPEED,-0.3734
DEW_POINT,RELATIVE HUMIDITY,0.4627
DEW_POINT,PRECIPITABLE WATER,0.8642
DEW_POINT,CLOUD_TYPE,0.0963
GHI,PRESSURE,-0.1669
GHI,WIND_SPEED,-0.0087
GHI,RELATIVE HUMIDITY,-0.4714
GHI,PRECIPITABLE WATER,0.0837
GHI,CLOUD_TYPE,-0.1545
PRESSURE,WIND_SPEED,0.2989
PRESSURE,RELATIVE HUMIDITY,-0.3441
PRESSURE,PRECIPITABLE WATER,-0.8074
PRESSURE,CLOUD_TYPE,-0.1479
WIND_SPEED,RELATIVE HUMIDITY,-0.2983
WIND_SPEED,PRECIPITABLE WATER,-0.2575
WIND_SPEED,CLOUD_TYPE,0.0893
RELATIVE HUMIDITY,PRECIPITABLE WATER,0.5058
RELATIVE HUMIDITY,CLOUD_TYPE,0.1812
PRECIPITABLE WATER,CLOUD_TYPE,0.3474
