date,time,TEMPERATURE,DEW_POINT,PRECIPITABLE WATER,GHI,PRESSURE,OT
2019-01-23,00:00:00,14.3,8.8,1.4,0,1032,359.32
2019-01-23,01:00:00,14.2,8.8,1.4,0,1031,308.63
2019-01-23,02:00:00,14.1,8.9,1.4,0,1031,284.17
2019-01-23,03:00:00,14.1,9.0,1.4,0,1031,252.0
2019-01-23,04:00:00,14.1,9.2,1.4,0,1031,263.33
2019-01-23,05:00:00,14.1,9.3,1.5,0,1031,245.15
2019-01-23,06:00:00,14.1,9.5,1.5,0,1032,236.47
2019-01-23,07:00:00,15.5,10.3,1.5,25,1032,264.96
2019-01-23,08:00:00,16.6,10.3,1.5,84,1033,289.27
2019-01-23,09:00:00,17.3,10.4,1.6,398,1033,366.18
2019-01-23,10:00:00,17.8,10.7,1.6,454,1033,430.89
2019-01-23,11:00:00,18.3,11.0,1.6,405,1032,410.14
2019-01-23,12:00:00,18.6,11.3,1.7,179,1031,421.73
2019-01-23,13:00:00,18.8,11.4,1.7,169,1030,427.57
2019-01-23,14:00:00,18.8,11.5,1.8,207,1030,441.64
2019-01-23,15:00:00,18.5,11.6,1.9,128,1030,433.72
2019-01-23,16:00:00,18.0,11.7,1.9,37,1030,414.68
2019-01-23,17:00:00,16.9,11.8,2.0,9,1030,403.39
2019-01-23,18:00:00,16.6,11.8,2.0,0,1031,371.87
2019-01-23,19:00:00,16.5,11.8,2.0,0,1031,368.25
2019-01-23,20:00:00,16.4,11.8,2.0,0,1031,373.89
2019-01-23,21:00:00,16.4,11.9,2.0,0,1031,327.75
2019-01-23,22:00:00,16.4,12.0,2.0,0,1031,338.0
2019-01-23,23:00:00,16.3,12.1,2.0,0,1031,326.21
2019-01-24,00:00:00,16.3,12.2,2.0,0,1030,313.46
2019-01-24,01:00:00,16.3,12.3,2.0,0,1030,295.95
2019-01-24,02:00:00,16.3,12.4,2.0,0,1030,278.02
2019-01-24,03:00:00,16.4,12.5,2.0,0,1030,245.48
2019-01-24,04:00:00,16.4,12.6,2.0,0,1030,234.26
2019-01-24,05:00:00,16.6,12.6,2.0,0,1030,230.92
2019-01-24,06:00:00,16.6,12.7,2.0,0,1031,225.51
2019-01-24,07:00:00,17.4,13.1,1.9,18,1031,248.95
2019-01-24,08:00:00,18.1,13.2,1.9,190,1032,299.72
2019-01-24,09:00:00,18.7,13.2,1.9,383,1032,370.75
2019-01-24,10:00:00,19.1,13.2,1.9,544,1032,393.82
2019-01-24,11:00:00,19.4,13.3,1.9,665,1031,404.05
2019-01-24,12:00:00,19.6,13.3,1.9,705,1030,423.47
2019-01-24,13:00:00,19.7,13.3,1.9,677,1030,445.59
2019-01-24,14:00:00,19.6,13.4,2.0,577,1029,422.29
2019-01-24,15:00:00,19.3,13.3,2.0,426,1029,409.95
2019-01-24,16:00:00,18.7,13.4,2.1,237,1029,409.7
2019-01-24,17:00:00,17.8,13.4,2.1,51,1030,409.22
2019-01-24,18:00:00,17.5,13.4,2.1,0,1030,380.1
