,GHI_MAE_TRAIN,GHI_MAPE_TRAIN,GHI_RMSE_TRAIN
0,76.8428,1.8376560173471068e+16,11175.4347
1,67.232,1.981599376666351e+16,8423.4703
2,66.3907,4.4791127213779624e+16,7640.0113
3,79.1095,1.1797283489954747e+17,9578.8389
4,85.429,1.3888010075714355e+17,10306.3591
5,82.4419,1.3301698846698155e+17,9618.7345
6,79.5632,1.2569059406188818e+17,9485.2762
7,71.4494,1.0280172191988667e+17,8581.8178
8,64.9434,8.10161127016803e+16,7471.7185
9,61.5217,6.1750873865672024e+16,6323.4362
10,63.6664,5.141698006168371e+16,7149.0731
11,75.6419,4.96307805397975e+16,15174.3859
12,69.2782,2.915165887738675e+16,14547.6778
13,75.5782,7139932158033920.0,19699.2143
14,102.4809,4434018651777708.0,34658.0777
15,123.1452,8593245385435819.0,48349.279
16,141.6191,1.1330350465329836e+16,58391.4398
17,147.7326,1.0349615263339862e+16,63379.7704
18,148.7213,4699137073217537.0,65472.5021
19,151.142,6696346358644736.0,66480.2408
20,150.1551,2.9033120553850196e+16,65077.5421
21,148.9187,2.563653711482061e+16,60378.9024
22,140.6652,1.7231622287218006e+16,55099.4586
23,138.0919,1.8558770223950508e+16,55973.8773
24,140.952,2.5979094669022548e+16,58476.6113
25,143.2406,1.8178549296223572e+16,61214.5681
26,151.6256,1.7944107701065046e+16,67476.219
27,159.7011,2.866997185268941e+16,72375.5063
28,169.9697,4.8237076145679016e+16,78772.5175
29,181.604,7.338705248810872e+16,85884.9942
30,196.2704,1.0778851467381965e+17,91197.6532
31,202.1369,1.3696585137109947e+17,89740.5463
32,198.9307,1.0915099891710907e+17,89061.128
33,187.3721,6.3336636815682216e+16,86090.1335
34,172.9205,4.1199045990241624e+16,79312.8779
35,149.1989,3.0910214625209004e+16,63853.1029
36,134.0487,1.783920321433873e+16,55435.4453
37,104.2362,3641969416164693.5,40113.6718
38,83.3172,8690562096605867.0,25979.3268
39,68.9393,2.1388675498988884e+16,16336.1478
40,57.728,2.9047221736789332e+16,10079.8504
41,48.7404,1.7522087379861504e+16,6925.9338
42,41.6168,2405355810892459.0,5929.4057
43,46.781,1.6413992371792554e+16,6206.4883
44,56.1026,4.267190677702793e+16,6744.9771
45,60.7728,4.0355505018066264e+16,7970.8102
46,58.9361,3.7735919101760856e+16,7398.2895
47,56.0173,2.8481843695190016e+16,6894.268
48,50.9095,2.0763523681703252e+16,6151.5117
49,47.8935,1.0264500822693206e+16,5827.5033
50,50.3885,1.6235649615003648e+16,6293.7831
51,53.6772,1.4651653149250902e+16,7063.0938
52,49.3832,2.491698647977165e+16,6197.7726
53,50.5646,3.098178649710046e+16,5308.0661
54,52.2064,4.903527511455607e+16,5467.6526
55,48.4817,4.5979765229049176e+16,5105.7944
56,48.9883,4.0053004386871976e+16,5443.7733
57,57.4472,3.3579853911425024e+16,8004.0127
58,65.7492,1.6928884180123648e+16,10816.3869
59,75.3271,5878741139281237.0,14985.8942
60,90.4061,1845145330778112.5,21765.4386
61,105.9166,1627781688808790.2,27694.7878
62,90.5864,190442294826325.75,21208.2469
63,74.4201,0.1849,16282.1864
64,79.1875,2496508080772437.5,17004.1524
65,76.425,0.2456,16353.8748
66,84.4278,0.3816,18801.8061
67,82.2391,1.3038495645128022e+16,16763.8194
68,71.5176,1.533668683223313e+16,12452.4016
69,75.5372,98212256590507.56,13588.2614
70,85.2123,1.0091,17255.8434
71,101.5785,257806329096875.53,25013.3369
72,116.6049,4997903834327723.0,34388.502
73,126.9298,0.8169,40137.9674
74,124.5115,5295608418708139.0,38354.7817
75,128.1599,6217875694026753.0,39964.1145
76,125.4901,7852264653149525.0,39487.2346
77,123.6796,1.5071896013897728e+16,39136.836
78,118.6425,1.7379500695573846e+16,36351.0802
79,118.77,9318043217821698.0,34384.6962
80,120.6287,1.4170338355052544e+16,33663.0647
81,115.4972,8482412233228290.0,30486.4018
82,117.3917,1.4943724526108676e+16,30216.2073
83,116.5611,1962187126647468.5,30522.9227
84,109.2619,4459235478514349.0,26585.657
85,103.162,1.0660647131239768e+16,21940.1036
86,113.7391,1.5995649347900758e+16,27631.1896
87,131.9359,3.1494714219124052e+16,38743.8324
