,KW_MAE_TRAIN,KW_MAPE_TRAIN,KW_RMSE_TRAIN
0,0.6953,1.0098,0.7959
1,0.7292,1.0447,0.8343
2,0.7462,1.0455,0.8711
3,0.7572,1.0695,0.9096
4,0.7565,1.0914,0.9304
5,0.7745,1.2478,0.9848
6,0.7886,1.2594,1.0368
7,0.8266,1.1258,1.1758
8,0.8514,1.0451,1.2584
9,0.8766,1.0,1.3273
10,0.8908,1.0,1.3484
11,0.9104,1.0,1.3715
12,0.9234,0.9992,1.3855
13,0.9357,1.0164,1.3946
14,0.9801,1.4239,1.4318
15,1.0137,1.4343,1.4564
16,0.9893,1.0575,1.4389
17,0.994,1.0214,1.4407
18,1.0124,1.0139,1.4493
19,1.0335,1.0067,1.4717
20,1.0538,1.0008,1.497
21,1.0756,1.0,1.5344
22,1.0814,1.0,1.543
23,1.0916,1.0,1.5541
24,1.089,1.0,1.5507
25,1.0981,1.0013,1.5694
26,1.1028,1.0,1.5825
27,1.1053,1.0,1.5906
28,1.1062,1.0,1.594
29,1.1075,1.0,1.5993
30,1.1027,1.0,1.5788
31,1.0964,1.0,1.5515
32,1.1028,1.0,1.5778
33,1.1142,1.0,1.6189
34,1.1407,1.0,1.6844
35,1.1765,1.0,1.7738
36,1.2062,1.0,1.8362
37,1.2391,1.0,1.8887
38,1.2574,1.0,1.9236
39,1.2695,1.0,1.9425
40,1.3001,1.0,1.9877
41,1.3275,1.0,2.0162
42,1.339,1.0,2.0327
43,1.3444,1.0,2.0423
44,1.3497,1.0,2.053
45,1.3447,1.0,2.0423
46,1.3498,1.0,2.0513
47,1.3578,1.0,2.0634
48,1.3602,1.0,2.0665
49,1.3493,1.0,2.0439
50,1.3476,1.0,2.0394
51,1.3385,1.0,2.0103
52,1.3438,1.0,2.031
53,1.3478,1.0,2.0476
54,1.3547,1.0,2.0776
55,1.36,1.0,2.1008
56,1.3593,1.0,2.0975
57,1.366,1.0,2.1246
58,1.3777,1.0,2.1643
59,1.3869,1.0,2.1972
60,1.3971,1.0,2.2283
61,1.3942,1.0,2.2216
62,1.39,1.0,2.2122
63,1.398,1.0,2.2286
64,1.3969,1.0056,2.2266
65,1.3931,1.0056,2.2205
66,1.3847,1.0002,2.204
67,1.3663,1.0,2.177
68,1.3443,1.0,2.1419
69,1.3229,1.0,2.1102
70,1.3069,1.0,2.0865
71,1.2795,1.0,2.0576
72,1.2598,1.0,2.04
73,1.2461,1.0,2.0196
74,1.229,1.0,1.982
75,1.2235,1.0,1.9665
76,1.2132,1.0,1.9276
77,1.1972,1.0,1.8648
78,1.1842,1.0,1.8107
79,1.1761,1.0,1.7759
80,1.16,1.0,1.7139
81,1.13,1.0,1.6095
82,1.0896,1.0,1.5003
83,1.0396,1.0,1.3703
84,0.9822,1.0,1.2597
85,0.9413,1.0,1.2081
86,0.8974,1.0,1.1601
87,0.8625,1.0027,1.1116
88,0.8335,1.0328,1.0777
89,0.8256,1.1062,1.066
90,0.7985,1.0,1.0411
91,0.7947,1.0,1.0375
92,0.7924,1.0,1.0352
93,0.7969,1.0,1.0401
94,0.7927,1.0,1.0359
95,0.8002,1.0,1.0402
96,0.8097,1.0,1.0464
97,0.8112,1.0,1.0483
98,0.8249,1.0,1.0772
99,0.8329,1.0,1.1004
100,0.8377,1.0,1.1178
101,0.8467,1.0,1.1515
102,0.8512,1.0,1.1694
103,0.8514,1.0,1.1704
104,0.8587,1.0,1.1969
105,0.8572,1.0,1.1927
106,0.8615,1.0,1.2007
107,0.8567,1.0,1.1945
108,0.8581,1.0,1.1953
109,0.8643,1.0,1.198
110,0.8681,1.0,1.1985
111,0.8684,1.0,1.1987
112,0.8758,1.0,1.202
113,0.8824,1.0768,1.2029
114,0.9096,1.135,1.2257
115,0.8859,1.0054,1.2107
116,0.8899,1.0,1.2157
117,0.8834,1.0,1.2091
118,0.8782,1.0,1.2051
119,0.8798,1.0,1.2063
120,0.8883,1.0,1.2156
121,0.8996,1.0,1.2326
122,0.9038,1.0025,1.2426
123,0.908,1.0,1.2568
124,0.9026,1.0,1.2375
125,0.9061,1.0,1.2513
126,0.917,1.0,1.2987
127,0.926,1.0,1.338
128,0.9331,1.0,1.366
129,0.9385,1.0,1.3812
130,0.9402,1.0,1.3846
131,0.9508,1.0,1.3997
132,0.9589,1.0,1.4062
133,0.9628,1.0,1.4089
134,0.9649,1.0,1.4095
135,0.9585,1.0,1.407
136,0.947,1.0,1.403
137,0.9386,1.0,1.3988
138,0.928,1.0,1.3886
139,0.9186,1.0,1.3812
140,0.909,1.0,1.3718
141,0.9065,1.0,1.3697
142,0.914,1.0,1.376
143,0.9116,1.0,1.3741
144,0.8976,1.0,1.3608
145,0.883,1.0,1.3398
146,0.867,1.0,1.3041
147,0.8615,1.0,1.2865
148,0.8629,1.0,1.2915
149,0.8597,1.0,1.2783
150,0.8462,1.0,1.2207
151,0.8378,1.0,1.1841
152,0.8264,1.0,1.1399
153,0.8168,1.0,1.1138
154,0.8062,1.0,1.0951
155,0.7924,1.0,1.0765
156,0.7847,1.0,1.0702
157,0.7763,1.0,1.0654
158,0.777,1.0,1.0657
159,0.7822,1.0,1.0675
160,0.7865,0.996,1.0682
161,0.7881,1.0,1.0688
162,0.7866,1.0,1.0678
163,0.7943,1.0,1.0736
164,0.7983,1.0,1.0769
165,0.8012,1.0,1.0793
166,0.7937,1.0,1.0731
167,0.7984,1.0,1.077
168,0.7967,1.0,1.076
169,0.8011,0.9996,1.0813
170,0.805,0.9931,1.0911
171,0.8041,0.9973,1.0863
172,0.8039,1.0,1.0837
173,0.8011,1.0,1.0728
174,0.8032,1.0,1.0811
175,0.8036,1.0,1.0829
176,0.8063,1.0,1.0929
177,0.8204,1.0,1.1327
178,0.8322,1.0,1.1537
179,0.8364,1.0,1.1584
180,0.8352,1.0,1.1577
181,0.8398,1.0,1.1599
182,0.837,1.023,1.1594
183,0.8398,1.0357,1.1606
184,0.8375,1.0294,1.1599
185,0.8433,1.0663,1.1628
186,0.8493,1.019,1.1716
187,0.8649,1.0,1.1939
188,0.8864,1.0,1.2253
189,0.9088,1.0,1.2573
190,0.9358,1.0,1.2924
191,0.9476,1.0,1.3068
192,0.9769,1.0,1.3431
193,0.9836,1.0002,1.3528
194,0.9887,1.011,1.3622
195,0.9915,1.0008,1.3727
196,0.9938,1.0,1.3817
197,0.9969,1.0,1.3938
198,0.9987,1.0,1.4011
199,1.002,1.0,1.4151
200,1.017,1.0,1.4771
201,1.0384,1.0,1.5554
202,1.0682,1.0,1.6386
203,1.1072,1.0,1.7227
204,1.1557,1.0,1.8071
205,1.1925,1.0,1.8613
206,1.2383,1.001,1.9174
207,1.2731,1.0036,1.9657
208,1.3092,1.003,2.005
209,1.3509,1.0029,2.0615
210,1.3645,1.0,2.0824
211,1.3808,1.0,2.1173
212,1.3926,1.0,2.1438
213,1.4059,1.0,2.1741
214,1.4191,1.0,2.2042
215,1.4314,1.0,2.2262
216,1.4392,1.0,2.2428
217,1.45,1.0,2.263
218,1.4636,1.0,2.2989
219,1.4612,1.0,2.2915
220,1.4665,1.0,2.3114
221,1.4709,1.0,2.3296
222,1.4697,1.0,2.3244
223,1.4715,1.0,2.3326
224,1.4646,1.0,2.3027
225,1.4623,1.0,2.2933
226,1.4674,1.0,2.3118
227,1.4731,1.0,2.33
228,1.4851,1.0013,2.3668
229,1.4875,1.0032,2.3722
230,1.5039,1.0176,2.4115
231,1.5124,1.0394,2.4384
232,1.5188,1.0698,2.4706
233,1.5023,1.095,2.4277
234,1.4844,1.1107,2.3847
235,1.4596,1.1086,2.3239
236,1.4363,1.1087,2.2691
237,1.4176,1.1406,2.2376
238,1.4043,1.1875,2.2205
239,1.3882,1.3027,2.2057
240,1.3615,1.7536,2.1795
241,1.3337,1.8089,2.1539
242,1.2508,1.5441,2.003
243,1.1353,1.0601,1.7938
244,1.0678,1.0032,1.6403
245,1.0334,1.0,1.5271
246,1.0111,1.0,1.4477
247,0.98,1.0,1.3339
248,0.954,1.0001,1.2423
249,0.8887,1.0,1.0788
250,0.8266,1.0066,0.9482
251,0.7698,1.0185,0.8417
252,0.761,1.0503,0.7988
253,0.8133,1.1101,0.9141
254,0.867,1.5069,0.9822
255,0.9606,2.0874,1.1214
256,0.952,2.2601,1.0932
257,0.8509,2.0842,0.9138
258,0.8499,2.3694,0.9148
259,0.8159,2.2005,0.9105
260,0.7444,2.2613,0.789
261,0.6706,1.849,0.704
262,0.6133,1.7863,0.6148
263,0.6025,1.4786,0.6339
264,0.615,0.6761,0.6072
265,0.6148,0.5901,0.6034
266,0.5787,0.5332,0.5766
267,0.5727,0.941,0.5536
268,0.5711,0.992,0.5304
269,0.5146,0.9717,0.4755
270,0.464,1.0195,0.396
271,0.4472,0.9145,0.3394
272,0.3783,0.8368,0.2219
273,0.3554,0.7824,0.2235
274,0.3312,0.9611,0.1907
275,0.3215,0.8423,0.1831
276,0.3244,0.8391,0.1874
277,0.3317,0.8062,0.1875
278,0.3815,0.9683,0.2278
279,0.4196,1.1557,0.266
280,0.38,0.9281,0.2276
281,0.3818,0.5975,0.2313
282,0.4427,0.5749,0.3014
283,0.4138,0.6419,0.282
284,0.4323,0.7392,0.3383
285,0.4568,0.7859,0.2926
286,0.5196,0.6032,0.4196
287,0.5914,0.6879,0.5374
288,0.6027,0.7622,0.5226
289,0.6144,0.7568,0.4956
290,0.6145,0.8024,0.4864
291,0.6007,0.7677,0.4709
292,0.5906,0.7463,0.4695
293,0.5948,0.7537,0.4855
294,0.5886,0.7586,0.4717
295,0.5704,0.7463,0.4469
296,0.5302,0.7342,0.3809
297,0.4937,0.6318,0.345
298,0.4859,0.6886,0.3238
299,0.4941,0.7292,0.3375
300,0.5479,0.7189,0.4068
301,0.5549,0.6821,0.4213
302,0.5146,0.6684,0.3764
303,0.5426,0.7131,0.4057
304,0.5777,0.7282,0.4465
305,0.5972,0.7255,0.4908
306,0.5633,0.7061,0.4658
307,0.5485,0.7255,0.4397
308,0.5534,0.8111,0.4505
309,0.5928,0.9029,0.5278
310,0.6114,0.9326,0.5107
311,0.6346,0.9504,0.5237
312,0.6057,0.8549,0.4741
313,0.5961,0.748,0.4709
314,0.6036,0.7291,0.452
315,0.6139,0.717,0.4764
316,0.617,0.7306,0.5033
317,0.6189,0.7355,0.5068
318,0.6082,0.7152,0.5045
319,0.5991,0.7132,0.4883
320,0.5621,0.6977,0.4215
321,0.5108,0.9273,0.3642
322,0.4399,0.6063,0.2846
323,0.4668,1.1601,0.3331
324,0.4599,1.3075,0.3242
325,0.4396,1.0969,0.2822
326,0.4554,1.6176,0.2887
327,0.4695,0.9983,0.3166
328,0.5465,2.2468,0.4264
329,0.5769,1.803,0.5077
330,0.5738,1.9362,0.4848
331,0.5968,2.6719,0.5029
332,0.6091,3.2772,0.5639
333,0.6144,3.3639,0.5881
334,0.6448,3.5801,0.6893
335,0.6942,3.8925,0.7315
336,0.7038,3.959,0.6813
337,0.6959,3.5916,0.6816
338,0.6861,3.147,0.6439
339,0.6636,2.7049,0.5873
340,0.6296,1.921,0.5733
341,0.6116,1.5127,0.5731
342,0.5924,1.3452,0.5121
343,0.5519,1.6375,0.4659
344,0.4739,1.8697,0.3606
