,TEMPERATURE_MAE_TRAIN,TEMPERATURE_MAPE_TRAIN,TEMPERATURE_RMSE_TRAIN
0,2.1159,1.0,4.5543
1,2.1311,1.0,4.6249
2,2.1447,1.0,4.6872
3,2.1599,1.0,4.7579
4,2.1751,1.0,4.8285
5,2.1937,1.0,4.9149
6,2.2123,1.0,5.0013
7,2.2259,1.0,5.0591
8,2.236,1.0,5.0992
9,2.2411,1.0,5.1178
10,2.236,1.0,5.1005
11,2.2191,1.0,5.0474
12,2.1954,1.0,4.9788
13,2.17,1.0,4.9084
14,2.143,1.0,4.8322
15,2.1091,1.0,4.7288
16,2.0685,1.0,4.5882
17,2.0263,1.0,4.4296
18,1.9924,1.0,4.2932
19,1.9704,1.0,4.1965
20,1.9518,1.0,4.1132
21,1.9349,1.0,4.0381
22,1.9163,1.0,3.9547
23,1.8977,1.0,3.8714
24,1.8774,1.0,3.7796
25,1.8571,1.0,3.6879
26,1.8385,1.0,3.6046
27,1.8182,1.0,3.5128
28,1.7962,1.0,3.4143
29,1.7708,1.0,3.3007
30,1.7437,1.0,3.1805
31,1.7116,1.0,3.0574
32,1.6795,1.0,2.9474
33,1.649,1.0,2.8543
34,1.6219,1.0,2.7825
35,1.6033,1.0,2.74
36,1.5898,1.0,2.7129
37,1.578,1.0,2.6906
38,1.5678,1.0,2.6711
39,1.5577,1.0,2.6508
40,1.5424,1.0,2.6185
41,1.5255,1.0,2.5791
42,1.5069,1.0,2.5275
43,1.4815,1.0,2.4447
44,1.4561,1.0,2.3579
45,1.4325,1.0,2.2758
46,1.4105,1.0,2.1988
47,1.3885,1.0,2.1217
48,1.3665,1.0,2.0446
49,1.3462,1.0,1.9727
50,1.3276,1.0,1.9059
51,1.309,1.0,1.8392
52,1.2921,1.0,1.7793
53,1.2768,1.0,1.7259
54,1.2616,1.0,1.6738
55,1.2481,1.0,1.6368
56,1.2295,1.0,1.5958
57,1.2075,1.0,1.5562
58,1.1872,1.0,1.5254
59,1.1635,1.0,1.4953
60,1.1347,1.0,1.4669
61,1.1026,1.0,1.4404
62,1.0704,1.0,1.4113
63,1.0417,1.0,1.3806
64,1.0248,1.0,1.3577
65,1.0146,1.0,1.3407
66,1.0062,1.0,1.3227
67,0.9994,1.0,1.3059
68,0.9926,1.0,1.2879
69,0.9875,1.0,1.2738
70,0.9842,1.0,1.264
71,0.9842,1.0,1.264
72,0.9875,1.0,1.2744
73,0.9943,1.0,1.2962
74,1.0028,1.0,1.3245
75,1.0129,1.0,1.3588
76,1.0231,1.0,1.3931
77,1.0332,1.0,1.4275
78,1.0451,1.0,1.467
79,1.0637,1.0,1.5202
80,1.089,1.0,1.5802
81,1.1212,1.0,1.6459
82,1.1567,1.0,1.7127
83,1.1939,1.0,1.7721
84,1.2345,1.0,1.8237
85,1.2785,1.0,1.8725
86,1.3242,1.0,1.9287
87,1.3699,1.0,1.996
88,1.4122,1.0,2.079
89,1.4545,1.0,2.1826
90,1.4917,1.0,2.2873
91,1.5255,1.0,2.3935
92,1.5593,1.0,2.5052
93,1.5915,1.0,2.6152
94,1.6219,1.0,2.7232
95,1.6507,1.0,2.8286
96,1.6778,1.0,2.9312
97,1.6998,1.0,3.0172
98,1.7184,1.0,3.0915
99,1.737,1.0,3.1673
100,1.7573,1.0,3.2508
101,1.781,1.0,3.3501
102,1.808,1.0,3.4658
103,1.8435,1.0,3.6134
104,1.8841,1.0,3.7738
105,1.9264,1.0,3.9358
106,1.9653,1.0,4.0784
107,2.006,1.0,4.2191
108,2.0499,1.0,4.3643
109,2.0922,1.0,4.4988
110,2.1294,1.0,4.6186
111,2.1616,1.0,4.726
112,2.187,1.0,4.817
113,2.2073,1.0,4.8972
114,2.2293,1.0,4.9904
115,2.2529,1.0,5.0974
116,2.2732,1.0,5.1908
117,2.2918,1.0,5.2772
118,2.3071,1.0,5.3478
119,2.3206,1.0,5.4112
120,2.3308,1.0,5.4587
121,2.3392,1.0,5.498
122,2.346,1.0,5.5291
123,2.3477,1.0,5.5368
124,2.346,1.0,5.5291
125,2.3392,1.0,5.498
126,2.3274,1.0,5.443
127,2.3054,1.0,5.3445
128,2.2834,1.0,5.2478
129,2.2614,1.0,5.1529
130,2.2445,1.0,5.0819
131,2.2276,1.0,5.0137
132,2.209,1.0,4.9409
133,2.1887,1.0,4.8657
134,2.165,1.0,4.7817
135,2.1413,1.0,4.6977
136,2.1193,1.0,4.6171
137,2.0973,1.0,4.5311
138,2.0736,1.0,4.4318
139,2.0482,1.0,4.3181
140,2.0229,1.0,4.2045
141,1.9975,1.0,4.0908
142,1.9738,1.0,3.9857
143,1.9501,1.0,3.8806
144,1.9281,1.0,3.7839
145,1.9078,1.0,3.6954
146,1.8892,1.0,3.6151
147,1.874,1.0,3.5506
148,1.8605,1.0,3.4938
149,1.8469,1.0,3.4382
150,1.8351,1.0,3.3899
151,1.8249,1.0,3.3523
152,1.8131,1.0,3.3098
153,1.7962,1.0,3.2526
154,1.7742,1.0,3.1809
155,1.7522,1.0,3.1128
156,1.7319,1.0,3.0523
157,1.7184,1.0,3.0132
158,1.715,1.0,3.0034
159,1.7184,1.0,3.0137
160,1.7234,1.0,3.0303
161,1.7302,1.0,3.0543
162,1.7353,1.0,3.0733
163,1.7387,1.0,3.0866
164,1.742,1.0,3.1
165,1.7437,1.0,3.1066
166,1.7437,1.0,3.1066
167,1.7437,1.0,3.1066
168,1.7437,1.0,3.1066
169,1.7437,1.0,3.1066
170,1.7437,1.0,3.1066
171,1.742,1.0,3.1001
172,1.7404,1.0,3.0937
173,1.742,1.0,3.1001
174,1.742,1.0,3.1001
175,1.7404,1.0,3.0944
176,1.7353,1.0,3.0782
177,1.7319,1.0,3.0684
178,1.7302,1.0,3.0639
179,1.7285,1.0,3.0596
180,1.7217,1.0,3.0438
181,1.7099,1.0,3.0168
182,1.6913,1.0,2.9727
183,1.6676,1.0,2.9118
184,1.6422,1.0,2.8414
185,1.6152,1.0,2.7587
186,1.5915,1.0,2.6805
187,1.5712,1.0,2.6085
188,1.5543,1.0,2.5472
189,1.539,1.0,2.4926
190,1.5255,1.0,2.4446
191,1.5103,1.0,2.3913
192,1.4951,1.0,2.3379
193,1.4798,1.0,2.2845
194,1.4646,1.0,2.2312
195,1.4511,1.0,2.1843
196,1.4375,1.0,2.1374
197,1.4206,1.0,2.0788
198,1.402,1.0,2.0167
199,1.3766,1.0,1.9463
200,1.3479,1.0,1.8782
201,1.314,1.0,1.8104
202,1.2751,1.0,1.7436
203,1.2345,1.0,1.6821
204,1.1973,1.0,1.6348
205,1.1635,1.0,1.5945
206,1.1347,1.0,1.5591
207,1.1077,1.0,1.5225
208,1.084,1.0,1.4847
209,1.0637,1.0,1.4457
210,1.0434,1.0,1.4001
211,1.0248,1.0,1.3515
212,1.0062,1.0,1.2999
213,0.9875,1.0,1.2483
214,0.9689,1.0,1.1967
215,0.952,1.0,1.1504
