KW,TEMPERATURE,GHI
359.32428,,
308.62632,,
284.16535,,
252.00179,,
263.32707,,
245.14642,,
236.46667,,
264.95952,,
289.26537,,
366.17778,,
430.89311,,
410.14059,,
421.73308,,
427.56544,,
441.64319,,
433.72241,,
414.68276,,
403.3922,,
371.8711,,
368.24575,,
373.8886,,
327.74604,,
338.00097,,
326.21196,,
313.45872,,
295.95382,,
278.01551,,
245.48101,,
234.25559,,
230.92032,,
225.51095,,
248.95481,,
299.72114,,
370.75185,,
393.82275,,
404.0528,,
423.46724,,
445.58887,,
422.28782,,
409.94812,,
409.70236,,
409.22069,,
380.10301,,
346.32239,,
361.34846,,
354.36957,,
351.41112,,
329.76252,,
322.21441,,
304.43553,,
282.99936,,
251.36001,,
245.11358,,
242.16483,,
241.85928,,
270.86954,,
325.29851,,
366.24561,,
393.82758,,
408.59635,,
376.73361,,
397.54421,,
405.89437,,
405.8017,,
403.64253,,
386.28552,,
368.80692,,
341.02223,,
340.66077,,
328.7711,,
308.15829,,
310.23917,,
321.1681,,
287.8492,,
266.14072,,
248.91554,,
238.00517,,
246.11025,,
234.62403,,
246.85351,,
290.25054,,
302.89247,,
304.63859,,
320.32057,,
322.90057,,
344.67449,,
337.54253,,
349.97663,,
338.52417,,
339.20828,,
315.90905,,
302.65706,,
331.08384,,
319.96532,,
304.19092,,
323.86088,,
309.50807,,
290.10462,,
264.27543,,
242.43227,,
252.23498,,
248.90743,,
233.82881,,
263.68872,,
264.11822,,
293.00516,,
301.1757,,
297.59396,,
307.04962,,
317.22264,,
303.62054,,
330.52775,,
322.75744,,
316.54658,,
320.67433,,
312.69269,,
301.33413,,
308.1693,,
302.63032,,
328.96635,,
305.46156,,
270.46664,,
265.9355,,
254.88694,,
234.99947,,
224.9797,,
231.19838,,
243.62288,,
316.36897,,
369.12477,,
377.79295,,
380.49111,,
399.16806,,
423.17854,,
411.67364,,
411.07818,,
391.10044,,
381.39867,,
389.92353,,
367.73239,,
364.22239,,
351.40905,,
345.60394,,
347.67384,,
346.01254,,
332.38043,,
293.55011,,
254.90245,,
