time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),apparent_temperature (°C),rain (mm),cloud_cover (%),cloud_cover_low (%),cloud_cover_mid (%),cloud_cover_high (%),et0_fao_evapotranspiration (mm),vapour_pressure_deficit (kPa),shortwave_radiation_instant (W/m²),direct_radiation_instant (W/m²),diffuse_radiation_instant (W/m²),direct_normal_irradiance_instant (W/m²),terrestrial_radiation_instant (W/m²),date,normalized_hour,sin_daytime,cos_daytime
0.0,10.1,84,7.4,8.2,0.0,5,4,2,0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,2019-01-23,0.49365482233502533,0.03985736655851092,-0.9992053794546046
1.0,9.7,84,7.2,7.7,0.0,4,4,1,0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,2019-01-23,0.5697969543147208,-0.424624590853188,-0.905369513979106
2.0,9.6,84,7.0,7.5,0.0,10,10,2,0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,2019-01-23,0.6459390862944162,-0.7937576660606792,-0.6082341387737976
3.0,9.6,84,7.0,7.5,0.0,29,29,4,0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,2019-01-23,0.7220812182741115,-0.9846535222511644,-0.17452060370734346
4.0,10.3,81,7.1,8.4,0.0,35,34,6,0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,2019-01-23,0.798223350253807,-0.9544467510209389,0.2983812987865928
5.0,10.8,78,7.1,9.0,0.0,24,23,8,0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,2019-01-23,0.8743654822335024,-0.7099202423246638,0.7042820809432047
6.0,10.7,78,7.1,8.9,0.0,16,14,12,0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,2019-01-23,0.9505076142131978,-0.30598209563590084,0.9520372666814374
7.0,11.2,79,7.6,9.5,0.0,16,8,15,0,0.03,0.29,7.9,2.6,5.3,13.6,83.4,2019-01-23,0.03220858895705511,0.20099400966784425,0.979592470406772
8.0,14.6,69,9.0,12.8,0.0,16,4,7,0,0.08,0.52,179.8,102.1,77.8,572.6,377.0,2019-01-23,0.12423312883435575,0.7036914671487846,0.7105056784164296
9.0,16.7,62,9.3,14.2,0.0,8,4,7,0,0.19,0.73,390.0,282.0,108.1,783.5,631.2,2019-01-23,0.2162576687116564,0.9776100779878341,0.2104246549637684
10.0,17.8,57,9.1,14.6,0.0,64,64,11,0,0.29,0.88,562.4,445.2,117.2,854.7,828.9,2019-01-23,0.30828220858895705,0.9336954955188038,-0.35806804052846625
11.0,18.3,57,9.6,15.5,0.0,100,100,16,0,0.34,0.9,623.4,427.7,195.8,671.8,956.4,2019-01-23,0.4003067484662577,0.5862248965969603,-0.8101483633322252
12.0,17.9,59,9.9,15.0,0.0,96,96,10,0,0.29,0.83,472.2,236.1,236.1,337.6,1005.2,2019-01-23,0.4923312883435583,0.04816529386123674,-0.9988393787127441
13.0,18.1,59,10.0,15.4,0.0,88,88,11,0,0.3,0.86,474.5,166.9,307.5,236.8,971.9,2019-01-23,0.584355828220859,-0.5055534448625766,-0.8627952911250627
14.0,18.0,59,9.8,15.3,0.0,89,89,15,0,0.3,0.85,463.9,222.6,241.3,341.1,858.7,2019-01-23,0.6763803680981596,-0.8949104719116333,-0.44624572520406036
15.0,17.2,61,9.7,14.6,0.0,83,82,22,0,0.2,0.76,235.6,25.3,210.3,46.3,673.4,2019-01-23,0.7684049079754601,-0.9933209759891315,0.1153838752165973
16.0,16.7,63,9.6,14.3,0.0,57,56,22,0,0.16,0.7,174.4,71.0,103.4,180.5,428.6,2019-01-23,0.8604294478527608,-0.7687904784473188,0.6395007429618378
17.0,15.8,67,9.6,14.0,0.0,62,62,17,0,0.09,0.6,49.5,22.1,27.5,108.3,141.0,2019-01-23,0.9524539877300614,-0.2943166361594237,0.9557079667345049
18.0,14.8,70,9.3,13.3,0.0,53,52,21,0,0.05,0.51,0.0,0.0,0.0,0.0,0.0,2019-01-23,0.036802030456852854,0.22917883163658914,0.9733843347463981
19.0,14.2,73,9.5,13.0,0.0,49,42,43,0,0.01,0.43,0.0,0.0,0.0,0.0,0.0,2019-01-23,0.11294416243654827,0.651567623195849,0.7585905564946825
20.0,13.0,83,10.1,11.7,0.0,98,29,32,0,0.01,0.26,0.0,0.0,0.0,0.0,0.0,2019-01-23,0.1890862944162437,0.9276477791027373,0.37345628649918183
21.0,13.6,80,10.1,12.6,0.0,36,26,32,0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,2019-01-23,0.2652284263959391,0.99542587073459,-0.09553709160469176
22.0,13.8,78,10.0,12.9,0.0,42,23,40,0,0.01,0.36,0.0,0.0,0.0,0.0,0.0,2019-01-23,0.3413705583756345,0.8396824185458479,-0.5430777439602875
23.0,15.0,71,9.9,13.8,0.0,57,29,55,0,0.02,0.49,0.0,0.0,0.0,0.0,0.0,2019-01-23,0.4175126903553299,0.49538940578171914,-0.8686710174969781
0.0,14.6,74,9.9,13.4,0.0,37,26,34,0,0.01,0.44,0.0,0.0,0.0,0.0,0.0,2019-01-24,0.4930114358322743,0.04389633423808672,-0.9990360913602963
1.0,14.1,76,10.0,13.0,0.0,42,17,40,0,0.01,0.38,0.0,0.0,0.0,0.0,0.0,2019-01-24,0.5692503176620075,-0.42151249272099767,-0.9068225948222347
2.0,13.3,81,10.2,12.4,0.0,33,21,30,0,0.0,0.29,0.0,0.0,0.0,0.0,0.0,2019-01-24,0.6454891994917407,-0.7920351882369148,-0.6104754381582563
