time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),apparent_temperature (°C),rain (mm),cloud_cover (%),cloud_cover_low (%),cloud_cover_mid (%),cloud_cover_high (%),et0_fao_evapotranspiration (mm),vapour_pressure_deficit (kPa),shortwave_radiation_instant (W/m²),direct_radiation_instant (W/m²),diffuse_radiation_instant (W/m²),direct_normal_irradiance_instant (W/m²),terrestrial_radiation_instant (W/m²),sun
2019-01-23 00:00:00,10.1,84,7.4,8.2,0.0,5,4,2,0,0.0,0.2,0.0,0.0,0.0,0.0,0.0,0
2019-01-23 01:00:00,9.7,84,7.2,7.7,0.0,4,4,1,0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0
2019-01-23 02:00:00,9.6,84,7.0,7.5,0.0,10,10,2,0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0
2019-01-23 03:00:00,9.6,84,7.0,7.5,0.0,29,29,4,0,0.0,0.19,0.0,0.0,0.0,0.0,0.0,0
2019-01-23 04:00:00,10.3,81,7.1,8.4,0.0,35,34,6,0,0.0,0.24,0.0,0.0,0.0,0.0,0.0,0
2019-01-23 05:00:00,10.8,78,7.1,9.0,0.0,24,23,8,0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0
2019-01-23 06:00:00,10.7,78,7.1,8.9,0.0,16,14,12,0,0.0,0.28,0.0,0.0,0.0,0.0,0.0,0
2019-01-23 07:00:00,11.2,79,7.6,9.5,0.0,16,8,15,0,0.03,0.29,7.9,2.6,5.3,13.6,83.4,1
2019-01-23 08:00:00,14.6,69,9.0,12.8,0.0,16,4,7,0,0.08,0.52,179.8,102.1,77.8,572.6,377.0,1
2019-01-23 09:00:00,16.7,62,9.3,14.2,0.0,8,4,7,0,0.19,0.73,390.0,282.0,108.1,783.5,631.2,1
2019-01-23 10:00:00,17.8,57,9.1,14.6,0.0,64,64,11,0,0.29,0.88,562.4,445.2,117.2,854.7,828.9,1
2019-01-23 11:00:00,18.3,57,9.6,15.5,0.0,100,100,16,0,0.34,0.9,623.4,427.7,195.8,671.8,956.4,1
2019-01-23 12:00:00,17.9,59,9.9,15.0,0.0,96,96,10,0,0.29,0.83,472.2,236.1,236.1,337.6,1005.2,1
2019-01-23 13:00:00,18.1,59,10.0,15.4,0.0,88,88,11,0,0.3,0.86,474.5,166.9,307.5,236.8,971.9,1
2019-01-23 14:00:00,18.0,59,9.8,15.3,0.0,89,89,15,0,0.3,0.85,463.9,222.6,241.3,341.1,858.7,1
2019-01-23 15:00:00,17.2,61,9.7,14.6,0.0,83,82,22,0,0.2,0.76,235.6,25.3,210.3,46.3,673.4,1
2019-01-23 16:00:00,16.7,63,9.6,14.3,0.0,57,56,22,0,0.16,0.7,174.4,71.0,103.4,180.5,428.6,1
2019-01-23 17:00:00,15.8,67,9.6,14.0,0.0,62,62,17,0,0.09,0.6,49.5,22.1,27.5,108.3,141.0,1
2019-01-23 18:00:00,14.8,70,9.3,13.3,0.0,53,52,21,0,0.05,0.51,0.0,0.0,0.0,0.0,0.0,0
2019-01-23 19:00:00,14.2,73,9.5,13.0,0.0,49,42,43,0,0.01,0.43,0.0,0.0,0.0,0.0,0.0,0
2019-01-23 20:00:00,13.0,83,10.1,11.7,0.0,98,29,32,0,0.01,0.26,0.0,0.0,0.0,0.0,0.0,0
2019-01-23 21:00:00,13.6,80,10.1,12.6,0.0,36,26,32,0,0.0,0.32,0.0,0.0,0.0,0.0,0.0,0
2019-01-23 22:00:00,13.8,78,10.0,12.9,0.0,42,23,40,0,0.01,0.36,0.0,0.0,0.0,0.0,0.0,0
