date,time,KW,TEMPERATURE,DEW_POINT,PRECIPITABLE WATER,OT
2019-01-23,00:00:00,359.32,14.3,8.8,1.4,0
2019-01-23,01:00:00,308.63,14.2,8.8,1.4,0
2019-01-23,02:00:00,284.17,14.1,8.9,1.4,0
2019-01-23,03:00:00,252.0,14.1,9.0,1.4,0
2019-01-23,04:00:00,263.33,14.1,9.2,1.4,0
2019-01-23,05:00:00,245.15,14.1,9.3,1.5,0
2019-01-23,06:00:00,236.47,14.1,9.5,1.5,0
2019-01-23,07:00:00,264.96,15.5,10.3,1.5,25
2019-01-23,08:00:00,289.27,16.6,10.3,1.5,84
2019-01-23,09:00:00,366.18,17.3,10.4,1.6,398
2019-01-23,10:00:00,430.89,17.8,10.7,1.6,454
2019-01-23,11:00:00,410.14,18.3,11.0,1.6,405
2019-01-23,12:00:00,421.73,18.6,11.3,1.7,179
2019-01-23,13:00:00,427.57,18.8,11.4,1.7,169
2019-01-23,14:00:00,441.64,18.8,11.5,1.8,207
2019-01-23,15:00:00,433.72,18.5,11.6,1.9,128
2019-01-23,16:00:00,414.68,18.0,11.7,1.9,37
2019-01-23,17:00:00,403.39,16.9,11.8,2.0,9
2019-01-23,18:00:00,371.87,16.6,11.8,2.0,0
2019-01-23,19:00:00,368.25,16.5,11.8,2.0,0
2019-01-23,20:00:00,373.89,16.4,11.8,2.0,0
2019-01-23,21:00:00,327.75,16.4,11.9,2.0,0
2019-01-23,22:00:00,338.0,16.4,12.0,2.0,0
2019-01-23,23:00:00,326.21,16.3,12.1,2.0,0
2019-01-24,00:00:00,313.46,16.3,12.2,2.0,0
2019-01-24,01:00:00,295.95,16.3,12.3,2.0,0
2019-01-24,02:00:00,278.02,16.3,12.4,2.0,0
2019-01-24,03:00:00,245.48,16.4,12.5,2.0,0
2019-01-24,04:00:00,234.26,16.4,12.6,2.0,0
2019-01-24,05:00:00,230.92,16.6,12.6,2.0,0
2019-01-24,06:00:00,225.51,16.6,12.7,2.0,0
2019-01-24,07:00:00,248.95,17.4,13.1,1.9,18
2019-01-24,08:00:00,299.72,18.1,13.2,1.9,190
2019-01-24,09:00:00,370.75,18.7,13.2,1.9,383
2019-01-24,10:00:00,393.82,19.1,13.2,1.9,544
2019-01-24,11:00:00,404.05,19.4,13.3,1.9,665
2019-01-24,12:00:00,423.47,19.6,13.3,1.9,705
2019-01-24,13:00:00,445.59,19.7,13.3,1.9,677
2019-01-24,14:00:00,422.29,19.6,13.4,2.0,577
2019-01-24,15:00:00,409.95,19.3,13.3,2.0,426
2019-01-24,16:00:00,409.7,18.7,13.4,2.1,237
2019-01-24,17:00:00,409.22,17.8,13.4,2.1,51
2019-01-24,18:00:00,380.1,17.5,13.4,2.1,0
2019-01-24,19:00:00,346.32,17.4,13.4,2.2,0
2019-01-24,20:00:00,361.35,17.3,13.5,2.2,0
2019-01-24,21:00:00,354.37,17.2,13.5,2.2,0
2019-01-24,22:00:00,351.41,17.1,13.6,2.2,0
2019-01-24,23:00:00,329.76,17.1,13.7,2.2,0
2019-01-25,00:00:00,322.21,17.2,13.8,2.3,0
2019-01-25,01:00:00,304.44,17.2,13.8,2.3,0
2019-01-25,02:00:00,283.0,17.2,13.8,2.3,0
2019-01-25,03:00:00,251.36,17.3,13.9,2.3,0
2019-01-25,04:00:00,245.11,17.3,13.9,2.4,0
2019-01-25,05:00:00,242.16,17.4,13.9,2.4,0
2019-01-25,06:00:00,241.86,17.3,13.9,2.4,0
2019-01-25,07:00:00,270.87,18.5,14.7,2.4,27
2019-01-25,08:00:00,325.3,19.6,14.9,2.4,92
2019-01-25,09:00:00,366.25,20.3,15.0,2.4,398
2019-01-25,10:00:00,393.83,20.9,14.9,2.4,560
2019-01-25,11:00:00,408.6,21.2,14.9,2.4,668
2019-01-25,12:00:00,376.73,21.2,14.9,2.4,709
2019-01-25,13:00:00,397.54,21.1,14.9,2.4,679
2019-01-25,14:00:00,405.89,20.7,14.9,2.4,580
2019-01-25,15:00:00,405.8,20.0,14.9,2.4,426
2019-01-25,16:00:00,403.64,19.1,14.8,2.3,238
2019-01-25,17:00:00,386.29,18.2,14.7,2.3,50
2019-01-25,18:00:00,368.81,18.0,14.5,2.3,0
2019-01-25,19:00:00,341.02,17.9,14.4,2.3,0
2019-01-25,20:00:00,340.66,17.8,14.2,2.2,0
