date,time,KW,TEMPERATURE,DEW_POINT,PRESSURE,WIND_SPEED,RELATIVE HUMIDITY,PRECIPITABLE WATER,CLOUD_TYPE,OT
2019-01-23,00:00:00,359.32,14.3,8.8,1032,4.1,69.69,1.4,0,0
2019-01-23,01:00:00,308.63,14.2,8.8,1031,4.1,70.21,1.4,3,0
2019-01-23,02:00:00,284.17,14.1,8.9,1031,4.1,71.05,1.4,3,0
2019-01-23,03:00:00,252.0,14.1,9.0,1031,4.1,71.62,1.4,0,0
2019-01-23,04:00:00,263.33,14.1,9.2,1031,4.0,72.27,1.4,3,0
2019-01-23,05:00:00,245.15,14.1,9.3,1031,4.0,72.97,1.5,3,0
2019-01-23,06:00:00,236.47,14.1,9.5,1032,3.9,74.06,1.5,3,0
2019-01-23,07:00:00,264.96,15.5,10.3,1032,4.0,71.17,1.5,1,25
2019-01-23,08:00:00,289.27,16.6,10.3,1033,4.4,66.33,1.5,3,84
2019-01-23,09:00:00,366.18,17.3,10.4,1033,4.5,64.07,1.6,0,398
2019-01-23,10:00:00,430.89,17.8,10.7,1033,4.4,63.31,1.6,2,454
2019-01-23,11:00:00,410.14,18.3,11.0,1032,4.4,62.52,1.6,3,405
2019-01-23,12:00:00,421.73,18.6,11.3,1031,4.7,62.35,1.7,3,179
2019-01-23,13:00:00,427.57,18.8,11.4,1030,4.9,62.25,1.7,3,169
2019-01-23,14:00:00,441.64,18.8,11.5,1030,5.1,62.65,1.8,3,207
2019-01-23,15:00:00,433.72,18.5,11.6,1030,5.1,64.01,1.9,3,128
2019-01-23,16:00:00,414.68,18.0,11.7,1030,4.7,66.86,1.9,3,37
2019-01-23,17:00:00,403.39,16.9,11.8,1030,4.0,72.1,2.0,3,9
2019-01-23,18:00:00,371.87,16.6,11.8,1031,3.8,73.32,2.0,3,0
2019-01-23,19:00:00,368.25,16.5,11.8,1031,3.8,73.66,2.0,3,0
2019-01-23,20:00:00,373.89,16.4,11.8,1031,3.8,74.16,2.0,3,0
2019-01-23,21:00:00,327.75,16.4,11.9,1031,3.8,74.54,2.0,3,0
2019-01-23,22:00:00,338.0,16.4,12.0,1031,3.8,75.02,2.0,3,0
2019-01-23,23:00:00,326.21,16.3,12.1,1031,3.8,76.01,2.0,3,0
2019-01-24,00:00:00,313.46,16.3,12.2,1030,3.8,76.45,2.0,3,0
2019-01-24,01:00:00,295.95,16.3,12.3,1030,3.8,77.03,2.0,3,0
2019-01-24,02:00:00,278.02,16.3,12.4,1030,3.8,77.64,2.0,3,0
2019-01-24,03:00:00,245.48,16.4,12.5,1030,3.9,77.65,2.0,0,0
2019-01-24,04:00:00,234.26,16.4,12.6,1030,4.0,78.01,2.0,3,0
2019-01-24,05:00:00,230.92,16.6,12.6,1030,4.1,77.48,2.0,3,0
2019-01-24,06:00:00,225.51,16.6,12.7,1031,4.2,77.71,2.0,3,0
2019-01-24,07:00:00,248.95,17.4,13.1,1031,4.4,75.95,1.9,1,18
2019-01-24,08:00:00,299.72,18.1,13.2,1032,4.9,73.17,1.9,2,190
2019-01-24,09:00:00,370.75,18.7,13.2,1032,5.1,70.39,1.9,2,383
2019-01-24,10:00:00,393.82,19.1,13.2,1032,4.9,68.74,1.9,0,544
2019-01-24,11:00:00,404.05,19.4,13.3,1031,4.8,67.63,1.9,1,665
2019-01-24,12:00:00,423.47,19.6,13.3,1030,4.8,66.98,1.9,1,705
2019-01-24,13:00:00,445.59,19.7,13.3,1030,5.0,66.69,1.9,0,677
2019-01-24,14:00:00,422.29,19.6,13.4,1029,5.2,67.2,2.0,0,577
2019-01-24,15:00:00,409.95,19.3,13.3,1029,5.2,68.41,2.0,0,426
2019-01-24,16:00:00,409.7,18.7,13.4,1029,4.8,71.47,2.1,0,237
2019-01-24,17:00:00,409.22,17.8,13.4,1030,4.0,75.64,2.1,1,51
2019-01-24,18:00:00,380.1,17.5,13.4,1030,3.8,76.78,2.1,0,0
2019-01-24,19:00:00,346.32,17.4,13.4,1031,3.6,77.39,2.2,0,0
2019-01-24,20:00:00,361.35,17.3,13.5,1031,3.6,78.14,2.2,0,0
2019-01-24,21:00:00,354.37,17.2,13.5,1031,3.6,78.94,2.2,0,0
2019-01-24,22:00:00,351.41,17.1,13.6,1030,3.5,79.9,2.2,0,0
2019-01-24,23:00:00,329.76,17.1,13.7,1030,3.5,80.45,2.2,0,0
2019-01-25,00:00:00,322.21,17.2,13.8,1030,3.4,80.29,2.3,0,0
