date,time,GHI,TEMPERATURE,OT
2019-01-23,00:00:00,0,14.3,359.32
2019-01-23,01:00:00,0,14.2,308.63
2019-01-23,02:00:00,0,14.1,284.17
2019-01-23,03:00:00,0,14.1,252.0
2019-01-23,04:00:00,0,14.1,263.33
2019-01-23,05:00:00,0,14.1,245.15
2019-01-23,06:00:00,0,14.1,236.47
2019-01-23,07:00:00,25,15.5,264.96
2019-01-23,08:00:00,84,16.6,289.27
2019-01-23,09:00:00,398,17.3,366.18
2019-01-23,10:00:00,454,17.8,430.89
2019-01-23,11:00:00,405,18.3,410.14
2019-01-23,12:00:00,179,18.6,421.73
2019-01-23,13:00:00,169,18.8,427.57
2019-01-23,14:00:00,207,18.8,441.64
2019-01-23,15:00:00,128,18.5,433.72
2019-01-23,16:00:00,37,18.0,414.68
2019-01-23,17:00:00,9,16.9,403.39
2019-01-23,18:00:00,0,16.6,371.87
2019-01-23,19:00:00,0,16.5,368.25
2019-01-23,20:00:00,0,16.4,373.89
2019-01-23,21:00:00,0,16.4,327.75
2019-01-23,22:00:00,0,16.4,338.0
2019-01-23,23:00:00,0,16.3,326.21
2019-01-24,00:00:00,0,16.3,313.46
2019-01-24,01:00:00,0,16.3,295.95
2019-01-24,02:00:00,0,16.3,278.02
2019-01-24,03:00:00,0,16.4,245.48
2019-01-24,04:00:00,0,16.4,234.26
2019-01-24,05:00:00,0,16.6,230.92
2019-01-24,06:00:00,0,16.6,225.51
2019-01-24,07:00:00,18,17.4,248.95
2019-01-24,08:00:00,190,18.1,299.72
2019-01-24,09:00:00,383,18.7,370.75
2019-01-24,10:00:00,544,19.1,393.82
2019-01-24,11:00:00,665,19.4,404.05
2019-01-24,12:00:00,705,19.6,423.47
2019-01-24,13:00:00,677,19.7,445.59
2019-01-24,14:00:00,577,19.6,422.29
2019-01-24,15:00:00,426,19.3,409.95
2019-01-24,16:00:00,237,18.7,409.7
2019-01-24,17:00:00,51,17.8,409.22
2019-01-24,18:00:00,0,17.5,380.1
2019-01-24,19:00:00,0,17.4,346.32
2019-01-24,20:00:00,0,17.3,361.35
2019-01-24,21:00:00,0,17.2,354.37
2019-01-24,22:00:00,0,17.1,351.41
2019-01-24,23:00:00,0,17.1,329.76
2019-01-25,00:00:00,0,17.2,322.21
2019-01-25,01:00:00,0,17.2,304.44
2019-01-25,02:00:00,0,17.2,283.0
2019-01-25,03:00:00,0,17.3,251.36
2019-01-25,04:00:00,0,17.3,245.11
2019-01-25,05:00:00,0,17.4,242.16
2019-01-25,06:00:00,0,17.3,241.86
2019-01-25,07:00:00,27,18.5,270.87
2019-01-25,08:00:00,92,19.6,325.3
2019-01-25,09:00:00,398,20.3,366.25
2019-01-25,10:00:00,560,20.9,393.83
2019-01-25,11:00:00,668,21.2,408.6
2019-01-25,12:00:00,709,21.2,376.73
2019-01-25,13:00:00,679,21.1,397.54
2019-01-25,14:00:00,580,20.7,405.89
2019-01-25,15:00:00,426,20.0,405.8
2019-01-25,16:00:00,238,19.1,403.64
2019-01-25,17:00:00,50,18.2,386.29
2019-01-25,18:00:00,0,18.0,368.81
2019-01-25,19:00:00,0,17.9,341.02
2019-01-25,20:00:00,0,17.8,340.66
2019-01-25,21:00:00,0,17.8,328.77
2019-01-25,22:00:00,0,17.7,308.16
2019-01-25,23:00:00,0,17.6,310.24
2019-01-26,00:00:00,0,17.3,321.17
2019-01-26,01:00:00,0,16.9,287.85
2019-01-26,02:00:00,0,16.6,266.14
2019-01-26,03:00:00,0,16.3,248.92
2019-01-26,04:00:00,0,16.0,238.01
2019-01-26,05:00:00,0,15.9,246.11
2019-01-26,06:00:00,0,15.7,234.62
2019-01-26,07:00:00,12,15.7,246.85
2019-01-26,08:00:00,83,15.7,290.25
2019-01-26,09:00:00,319,15.8,302.89
2019-01-26,10:00:00,50,15.7,304.64
2019-01-26,11:00:00,61,15.5,320.32
2019-01-26,12:00:00,65,15.4,322.9
2019-01-26,13:00:00,62,15.3,344.67
2019-01-26,14:00:00,53,15.2,337.54
2019-01-26,15:00:00,42,15.0,349.98
2019-01-26,16:00:00,24,14.7,338.52
2019-01-26,17:00:00,17,14.5,339.21
2019-01-26,18:00:00,0,14.5,315.91
2019-01-26,19:00:00,0,14.5,302.66
2019-01-26,20:00:00,0,14.6,331.08
2019-01-26,21:00:00,0,14.6,319.97
2019-01-26,22:00:00,0,14.7,304.19
2019-01-26,23:00:00,0,14.7,323.86
2019-01-27,00:00:00,0,14.6,309.51
2019-01-27,01:00:00,0,14.5,290.1
2019-01-27,02:00:00,0,14.5,264.28
2019-01-27,03:00:00,0,14.4,242.43
2019-01-27,04:00:00,0,14.4,252.23
2019-01-27,05:00:00,0,14.4,248.91
2019-01-27,06:00:00,0,14.5,233.83
2019-01-27,07:00:00,12,15.1,263.69
2019-01-27,08:00:00,76,15.8,264.12
2019-01-27,09:00:00,83,16.4,293.01
2019-01-27,10:00:00,161,16.9,301.18
2019-01-27,11:00:00,60,17.2,297.59
2019-01-27,12:00:00,203,17.4,307.05
2019-01-27,13:00:00,556,17.5,317.22
2019-01-27,14:00:00,403,17.4,303.62
2019-01-27,15:00:00,237,17.2,330.53
2019-01-27,16:00:00,262,16.9,322.76
2019-01-27,17:00:00,67,16.1,316.55
2019-01-27,18:00:00,0,15.8,320.67
2019-01-27,19:00:00,0,15.7,312.69
2019-01-27,20:00:00,0,15.6,301.33
2019-01-27,21:00:00,0,15.6,308.17
2019-01-27,22:00:00,0,15.6,302.63
2019-01-27,23:00:00,0,15.6,328.97
2019-01-28,00:00:00,0,15.6,305.46
2019-01-28,01:00:00,0,15.6,270.47
2019-01-28,02:00:00,0,15.6,265.94
2019-01-28,03:00:00,0,15.6,254.89
2019-01-28,04:00:00,0,15.7,235.0
2019-01-28,05:00:00,0,15.8,224.98
2019-01-28,06:00:00,0,15.9,231.2
2019-01-28,07:00:00,36,17.0,243.62
2019-01-28,08:00:00,224,18.2,316.37
2019-01-28,09:00:00,424,19.1,369.12
2019-01-28,10:00:00,590,19.6,377.79
2019-01-28,11:00:00,708,20.0,380.49
2019-01-28,12:00:00,753,20.2,399.17
2019-01-28,13:00:00,723,20.2,423.18
2019-01-28,14:00:00,624,20.0,411.67
2019-01-28,15:00:00,387,19.7,411.08
2019-01-28,16:00:00,163,19.0,391.1
2019-01-28,17:00:00,36,17.9,381.4
2019-01-28,18:00:00,0,17.7,389.92
2019-01-28,19:00:00,0,17.7,367.73
2019-01-28,20:00:00,0,17.8,364.22
2019-01-28,21:00:00,0,17.8,351.41
2019-01-28,22:00:00,0,17.8,345.6
2019-01-28,23:00:00,0,17.7,347.67
2019-01-29,00:00:00,0,17.6,346.01
2019-01-29,01:00:00,0,17.6,332.38
2019-01-29,02:00:00,0,17.7,293.55
2019-01-29,03:00:00,0,17.7,254.9
2019-01-29,04:00:00,0,17.8,270.41
2019-01-29,05:00:00,0,17.8,264.26
2019-01-29,06:00:00,0,17.8,266.42
2019-01-29,07:00:00,24,18.7,260.63
2019-01-29,08:00:00,217,19.5,287.05
2019-01-29,09:00:00,318,20.1,347.56
2019-01-29,10:00:00,582,20.5,352.83
2019-01-29,11:00:00,700,20.8,415.79
2019-01-29,12:00:00,742,21.1,410.28
2019-01-29,13:00:00,445,21.1,414.06
2019-01-29,14:00:00,410,21.1,422.77
2019-01-29,15:00:00,281,20.9,389.94
2019-01-29,16:00:00,177,20.5,411.65
2019-01-29,17:00:00,44,19.6,384.6
2019-01-29,18:00:00,0,19.3,387.29
2019-01-29,19:00:00,0,19.3,371.12
2019-01-29,20:00:00,0,19.2,376.26
2019-01-29,21:00:00,0,19.2,342.42
2019-01-29,22:00:00,0,19.2,331.75
2019-01-29,23:00:00,0,19.2,345.02
2019-01-30,00:00:00,0,19.2,326.32
2019-01-30,01:00:00,0,19.2,306.28
2019-01-30,02:00:00,0,19.1,265.71
2019-01-30,03:00:00,0,19.1,262.68
2019-01-30,04:00:00,0,19.0,253.24
2019-01-30,05:00:00,0,18.9,239.12
2019-01-30,06:00:00,0,18.9,242.64
2019-01-30,07:00:00,37,20.2,243.77
2019-01-30,08:00:00,224,21.3,308.42
2019-01-30,09:00:00,299,22.2,367.85
2019-01-30,10:00:00,465,22.8,414.59
2019-01-30,11:00:00,704,23.1,411.44
2019-01-30,12:00:00,745,23.2,392.42
2019-01-30,13:00:00,446,23.0,392.57
2019-01-30,14:00:00,342,22.6,387.33
2019-01-30,15:00:00,241,22.0,405.55
2019-01-30,16:00:00,59,21.2,375.65
