date,time,TEMPERATURE,DEW_POINT,PRECIPITABLE WATER,GHI,RELATIVE HUMIDITY,CLOUD_TYPE,OT
2019-01-23,00:00:00,14.3,8.8,1.4,0,69.69,0,359.32
2019-01-23,01:00:00,14.2,8.8,1.4,0,70.21,3,308.63
2019-01-23,02:00:00,14.1,8.9,1.4,0,71.05,3,284.17
2019-01-23,03:00:00,14.1,9.0,1.4,0,71.62,0,252.0
2019-01-23,04:00:00,14.1,9.2,1.4,0,72.27,3,263.33
2019-01-23,05:00:00,14.1,9.3,1.5,0,72.97,3,245.15
2019-01-23,06:00:00,14.1,9.5,1.5,0,74.06,3,236.47
2019-01-23,07:00:00,15.5,10.3,1.5,25,71.17,1,264.96
2019-01-23,08:00:00,16.6,10.3,1.5,84,66.33,3,289.27
2019-01-23,09:00:00,17.3,10.4,1.6,398,64.07,0,366.18
2019-01-23,10:00:00,17.8,10.7,1.6,454,63.31,2,430.89
2019-01-23,11:00:00,18.3,11.0,1.6,405,62.52,3,410.14
2019-01-23,12:00:00,18.6,11.3,1.7,179,62.35,3,421.73
2019-01-23,13:00:00,18.8,11.4,1.7,169,62.25,3,427.57
2019-01-23,14:00:00,18.8,11.5,1.8,207,62.65,3,441.64
2019-01-23,15:00:00,18.5,11.6,1.9,128,64.01,3,433.72
2019-01-23,16:00:00,18.0,11.7,1.9,37,66.86,3,414.68
2019-01-23,17:00:00,16.9,11.8,2.0,9,72.1,3,403.39
2019-01-23,18:00:00,16.6,11.8,2.0,0,73.32,3,371.87
2019-01-23,19:00:00,16.5,11.8,2.0,0,73.66,3,368.25
2019-01-23,20:00:00,16.4,11.8,2.0,0,74.16,3,373.89
2019-01-23,21:00:00,16.4,11.9,2.0,0,74.54,3,327.75
2019-01-23,22:00:00,16.4,12.0,2.0,0,75.02,3,338.0
2019-01-23,23:00:00,16.3,12.1,2.0,0,76.01,3,326.21
2019-01-24,00:00:00,16.3,12.2,2.0,0,76.45,3,313.46
2019-01-24,01:00:00,16.3,12.3,2.0,0,77.03,3,295.95
2019-01-24,02:00:00,16.3,12.4,2.0,0,77.64,3,278.02
2019-01-24,03:00:00,16.4,12.5,2.0,0,77.65,0,245.48
2019-01-24,04:00:00,16.4,12.6,2.0,0,78.01,3,234.26
2019-01-24,05:00:00,16.6,12.6,2.0,0,77.48,3,230.92
2019-01-24,06:00:00,16.6,12.7,2.0,0,77.71,3,225.51
