date,time,TEMPERATURE,DEW_POINT,GHI,PRESSURE,WIND_SPEED,RELATIVE HUMIDITY,PRECIPITABLE WATER,CLOUD_TYPE,OT
2019-01-23,00:00:00,14.3,8.8,0,1032,4.1,69.69,1.4,0,359.32
2019-01-23,01:00:00,14.2,8.8,0,1031,4.1,70.21,1.4,3,308.63
2019-01-23,02:00:00,14.1,8.9,0,1031,4.1,71.05,1.4,3,284.17
2019-01-23,03:00:00,14.1,9.0,0,1031,4.1,71.62,1.4,0,252.0
2019-01-23,04:00:00,14.1,9.2,0,1031,4.0,72.27,1.4,3,263.33
2019-01-23,05:00:00,14.1,9.3,0,1031,4.0,72.97,1.5,3,245.15
2019-01-23,06:00:00,14.1,9.5,0,1032,3.9,74.06,1.5,3,236.47
2019-01-23,07:00:00,15.5,10.3,25,1032,4.0,71.17,1.5,1,264.96
2019-01-23,08:00:00,16.6,10.3,84,1033,4.4,66.33,1.5,3,289.27
2019-01-23,09:00:00,17.3,10.4,398,1033,4.5,64.07,1.6,0,366.18
2019-01-23,10:00:00,17.8,10.7,454,1033,4.4,63.31,1.6,2,430.89
2019-01-23,11:00:00,18.3,11.0,405,1032,4.4,62.52,1.6,3,410.14
2019-01-23,12:00:00,18.6,11.3,179,1031,4.7,62.35,1.7,3,421.73
2019-01-23,13:00:00,18.8,11.4,169,1030,4.9,62.25,1.7,3,427.57
2019-01-23,14:00:00,18.8,11.5,207,1030,5.1,62.65,1.8,3,441.64
2019-01-23,15:00:00,18.5,11.6,128,1030,5.1,64.01,1.9,3,433.72
2019-01-23,16:00:00,18.0,11.7,37,1030,4.7,66.86,1.9,3,414.68
2019-01-23,17:00:00,16.9,11.8,9,1030,4.0,72.1,2.0,3,403.39
2019-01-23,18:00:00,16.6,11.8,0,1031,3.8,73.32,2.0,3,371.87
2019-01-23,19:00:00,16.5,11.8,0,1031,3.8,73.66,2.0,3,368.25
2019-01-23,20:00:00,16.4,11.8,0,1031,3.8,74.16,2.0,3,373.89
2019-01-23,21:00:00,16.4,11.9,0,1031,3.8,74.54,2.0,3,327.75
2019-01-23,22:00:00,16.4,12.0,0,1031,3.8,75.02,2.0,3,338.0
2019-01-23,23:00:00,16.3,12.1,0,1031,3.8,76.01,2.0,3,326.21
2019-01-24,00:00:00,16.3,12.2,0,1030,3.8,76.45,2.0,3,313.46
2019-01-24,01:00:00,16.3,12.3,0,1030,3.8,77.03,2.0,3,295.95
2019-01-24,02:00:00,16.3,12.4,0,1030,3.8,77.64,2.0,3,278.02
2019-01-24,03:00:00,16.4,12.5,0,1030,3.9,77.65,2.0,0,245.48
2019-01-24,04:00:00,16.4,12.6,0,1030,4.0,78.01,2.0,3,234.26
2019-01-24,05:00:00,16.6,12.6,0,1030,4.1,77.48,2.0,3,230.92
2019-01-24,06:00:00,16.6,12.7,0,1031,4.2,77.71,2.0,3,225.51
2019-01-24,07:00:00,17.4,13.1,18,1031,4.4,75.95,1.9,1,248.95
2019-01-24,08:00:00,18.1,13.2,190,1032,4.9,73.17,1.9,2,299.72
2019-01-24,09:00:00,18.7,13.2,383,1032,5.1,70.39,1.9,2,370.75
2019-01-24,10:00:00,19.1,13.2,544,1032,4.9,68.74,1.9,0,393.82
2019-01-24,11:00:00,19.4,13.3,665,1031,4.8,67.63,1.9,1,404.05
2019-01-24,12:00:00,19.6,13.3,705,1030,4.8,66.98,1.9,1,423.47
2019-01-24,13:00:00,19.7,13.3,677,1030,5.0,66.69,1.9,0,445.59
2019-01-24,14:00:00,19.6,13.4,577,1029,5.2,67.2,2.0,0,422.29
2019-01-24,15:00:00,19.3,13.3,426,1029,5.2,68.41,2.0,0,409.95
2019-01-24,16:00:00,18.7,13.4,237,1029,4.8,71.47,2.1,0,409.7
2019-01-24,17:00:00,17.8,13.4,51,1030,4.0,75.64,2.1,1,409.22
2019-01-24,18:00:00,17.5,13.4,0,1030,3.8,76.78,2.1,0,380.1
2019-01-24,19:00:00,17.4,13.4,0,1031,3.6,77.39,2.2,0,346.32
2019-01-24,20:00:00,17.3,13.5,0,1031,3.6,78.14,2.2,0,361.35
2019-01-24,21:00:00,17.2,13.5,0,1031,3.6,78.94,2.2,0,354.37
2019-01-24,22:00:00,17.1,13.6,0,1030,3.5,79.9,2.2,0,351.41
2019-01-24,23:00:00,17.1,13.7,0,1030,3.5,80.45,2.2,0,329.76
2019-01-25,00:00:00,17.2,13.8,0,1030,3.4,80.29,2.3,0,322.21
2019-01-25,01:00:00,17.2,13.8,0,1030,3.3,80.51,2.3,0,304.44
2019-01-25,02:00:00,17.2,13.8,0,1030,3.2,80.64,2.3,0,283.0
2019-01-25,03:00:00,17.3,13.9,0,1030,3.1,80.19,2.3,0,251.36
2019-01-25,04:00:00,17.3,13.9,0,1030,3.0,80.27,2.4,0,245.11
2019-01-25,05:00:00,17.4,13.9,0,1030,2.9,79.79,2.4,1,242.16
2019-01-25,06:00:00,17.3,13.9,0,1031,2.7,80.43,2.4,1,241.86
2019-01-25,07:00:00,18.5,14.7,27,1031,2.5,78.45,2.4,1,270.87
2019-01-25,08:00:00,19.6,14.9,92,1032,2.6,74.3,2.4,4,325.3
2019-01-25,09:00:00,20.3,15.0,398,1032,2.2,71.52,2.4,0,366.25
2019-01-25,10:00:00,20.9,14.9,560,1031,1.9,68.75,2.4,0,393.83
2019-01-25,11:00:00,21.2,14.9,668,1031,2.2,67.43,2.4,0,408.6
2019-01-25,12:00:00,21.2,14.9,709,1030,2.6,67.43,2.4,0,376.73
2019-01-25,13:00:00,21.1,14.9,679,1030,3.2,67.89,2.4,0,397.54
2019-01-25,14:00:00,20.7,14.9,580,1029,3.7,69.4,2.4,0,405.89
2019-01-25,15:00:00,20.0,14.9,426,1030,4.2,72.25,2.4,0,405.8
2019-01-25,16:00:00,19.1,14.8,238,1030,4.2,75.97,2.3,0,403.64
2019-01-25,17:00:00,18.2,14.7,50,1031,3.7,79.95,2.3,0,386.29
2019-01-25,18:00:00,18.0,14.5,0,1032,3.7,80.08,2.3,1,368.81
2019-01-25,19:00:00,17.9,14.4,0,1033,3.8,79.86,2.3,1,341.02
2019-01-25,20:00:00,17.8,14.2,0,1033,4.0,79.57,2.2,0,340.66
2019-01-25,21:00:00,17.8,14.1,0,1033,4.4,78.89,2.2,0,328.77
2019-01-25,22:00:00,17.7,13.8,0,1033,5.0,78.09,2.1,0,308.16
2019-01-25,23:00:00,17.6,13.4,0,1034,5.4,76.64,2.0,3,310.24
2019-01-26,00:00:00,17.3,13.0,0,1034,5.6,75.61,1.9,3,321.17
2019-01-26,01:00:00,16.9,12.4,0,1034,5.8,74.9,1.9,1,287.85
2019-01-26,02:00:00,16.6,12.1,0,1034,5.9,74.52,1.8,1,266.14
2019-01-26,03:00:00,16.3,11.8,0,1034,5.9,74.69,1.8,1,248.92
2019-01-26,04:00:00,16.0,11.6,0,1035,6.0,75.13,1.8,1,238.01
2019-01-26,05:00:00,15.9,11.3,0,1035,6.1,74.24,1.8,4,246.11
2019-01-26,06:00:00,15.7,10.9,0,1036,6.2,73.14,1.8,4,234.62
