date,time,KW,DEW_POINT,PRECIPITABLE WATER,GHI,RELATIVE HUMIDITY,CLOUD_TYPE,OT
2019-01-23,00:00:00,359.32,8.8,1.4,0,69.69,0,14.3
2019-01-23,01:00:00,308.63,8.8,1.4,0,70.21,3,14.2
2019-01-23,02:00:00,284.17,8.9,1.4,0,71.05,3,14.1
2019-01-23,03:00:00,252.0,9.0,1.4,0,71.62,0,14.1
2019-01-23,04:00:00,263.33,9.2,1.4,0,72.27,3,14.1
2019-01-23,05:00:00,245.15,9.3,1.5,0,72.97,3,14.1
2019-01-23,06:00:00,236.47,9.5,1.5,0,74.06,3,14.1
2019-01-23,07:00:00,264.96,10.3,1.5,25,71.17,1,15.5
2019-01-23,08:00:00,289.27,10.3,1.5,84,66.33,3,16.6
2019-01-23,09:00:00,366.18,10.4,1.6,398,64.07,0,17.3
2019-01-23,10:00:00,430.89,10.7,1.6,454,63.31,2,17.8
2019-01-23,11:00:00,410.14,11.0,1.6,405,62.52,3,18.3
2019-01-23,12:00:00,421.73,11.3,1.7,179,62.35,3,18.6
2019-01-23,13:00:00,427.57,11.4,1.7,169,62.25,3,18.8
2019-01-23,14:00:00,441.64,11.5,1.8,207,62.65,3,18.8
2019-01-23,15:00:00,433.72,11.6,1.9,128,64.01,3,18.5
2019-01-23,16:00:00,414.68,11.7,1.9,37,66.86,3,18.0
2019-01-23,17:00:00,403.39,11.8,2.0,9,72.1,3,16.9
2019-01-23,18:00:00,371.87,11.8,2.0,0,73.32,3,16.6
2019-01-23,19:00:00,368.25,11.8,2.0,0,73.66,3,16.5
2019-01-23,20:00:00,373.89,11.8,2.0,0,74.16,3,16.4
2019-01-23,21:00:00,327.75,11.9,2.0,0,74.54,3,16.4
2019-01-23,22:00:00,338.0,12.0,2.0,0,75.02,3,16.4
2019-01-23,23:00:00,326.21,12.1,2.0,0,76.01,3,16.3
2019-01-24,00:00:00,313.46,12.2,2.0,0,76.45,3,16.3
2019-01-24,01:00:00,295.95,12.3,2.0,0,77.03,3,16.3
2019-01-24,02:00:00,278.02,12.4,2.0,0,77.64,3,16.3
2019-01-24,03:00:00,245.48,12.5,2.0,0,77.65,0,16.4
2019-01-24,04:00:00,234.26,12.6,2.0,0,78.01,3,16.4
2019-01-24,05:00:00,230.92,12.6,2.0,0,77.48,3,16.6
2019-01-24,06:00:00,225.51,12.7,2.0,0,77.71,3,16.6
2019-01-24,07:00:00,248.95,13.1,1.9,18,75.95,1,17.4
2019-01-24,08:00:00,299.72,13.2,1.9,190,73.17,2,18.1
2019-01-24,09:00:00,370.75,13.2,1.9,383,70.39,2,18.7
2019-01-24,10:00:00,393.82,13.2,1.9,544,68.74,0,19.1
2019-01-24,11:00:00,404.05,13.3,1.9,665,67.63,1,19.4
2019-01-24,12:00:00,423.47,13.3,1.9,705,66.98,1,19.6
2019-01-24,13:00:00,445.59,13.3,1.9,677,66.69,0,19.7
2019-01-24,14:00:00,422.29,13.4,2.0,577,67.2,0,19.6
2019-01-24,15:00:00,409.95,13.3,2.0,426,68.41,0,19.3
2019-01-24,16:00:00,409.7,13.4,2.1,237,71.47,0,18.7
2019-01-24,17:00:00,409.22,13.4,2.1,51,75.64,1,17.8
2019-01-24,18:00:00,380.1,13.4,2.1,0,76.78,0,17.5
2019-01-24,19:00:00,346.32,13.4,2.2,0,77.39,0,17.4
2019-01-24,20:00:00,361.35,13.5,2.2,0,78.14,0,17.3
2019-01-24,21:00:00,354.37,13.5,2.2,0,78.94,0,17.2
2019-01-24,22:00:00,351.41,13.6,2.2,0,79.9,0,17.1
2019-01-24,23:00:00,329.76,13.7,2.2,0,80.45,0,17.1
2019-01-25,00:00:00,322.21,13.8,2.3,0,80.29,0,17.2
2019-01-25,01:00:00,304.44,13.8,2.3,0,80.51,0,17.2
2019-01-25,02:00:00,283.0,13.8,2.3,0,80.64,0,17.2
2019-01-25,03:00:00,251.36,13.9,2.3,0,80.19,0,17.3
2019-01-25,04:00:00,245.11,13.9,2.4,0,80.27,0,17.3
2019-01-25,05:00:00,242.16,13.9,2.4,0,79.79,1,17.4
2019-01-25,06:00:00,241.86,13.9,2.4,0,80.43,1,17.3
2019-01-25,07:00:00,270.87,14.7,2.4,27,78.45,1,18.5
2019-01-25,08:00:00,325.3,14.9,2.4,92,74.3,4,19.6
2019-01-25,09:00:00,366.25,15.0,2.4,398,71.52,0,20.3
2019-01-25,10:00:00,393.83,14.9,2.4,560,68.75,0,20.9
2019-01-25,11:00:00,408.6,14.9,2.4,668,67.43,0,21.2
2019-01-25,12:00:00,376.73,14.9,2.4,709,67.43,0,21.2
2019-01-25,13:00:00,397.54,14.9,2.4,679,67.89,0,21.1
2019-01-25,14:00:00,405.89,14.9,2.4,580,69.4,0,20.7
2019-01-25,15:00:00,405.8,14.9,2.4,426,72.25,0,20.0
