date,time,KW,DEW_POINT,PRECIPITABLE WATER,GHI,PRESSURE,WIND_SPEED,OT
2019-01-23,00:00:00,359.32,8.8,1.4,0,1032,4.1,14.3
2019-01-23,01:00:00,308.63,8.8,1.4,0,1031,4.1,14.2
2019-01-23,02:00:00,284.17,8.9,1.4,0,1031,4.1,14.1
2019-01-23,03:00:00,252.0,9.0,1.4,0,1031,4.1,14.1
2019-01-23,04:00:00,263.33,9.2,1.4,0,1031,4.0,14.1
2019-01-23,05:00:00,245.15,9.3,1.5,0,1031,4.0,14.1
2019-01-23,06:00:00,236.47,9.5,1.5,0,1032,3.9,14.1
2019-01-23,07:00:00,264.96,10.3,1.5,25,1032,4.0,15.5
2019-01-23,08:00:00,289.27,10.3,1.5,84,1033,4.4,16.6
2019-01-23,09:00:00,366.18,10.4,1.6,398,1033,4.5,17.3
2019-01-23,10:00:00,430.89,10.7,1.6,454,1033,4.4,17.8
2019-01-23,11:00:00,410.14,11.0,1.6,405,1032,4.4,18.3
2019-01-23,12:00:00,421.73,11.3,1.7,179,1031,4.7,18.6
2019-01-23,13:00:00,427.57,11.4,1.7,169,1030,4.9,18.8
2019-01-23,14:00:00,441.64,11.5,1.8,207,1030,5.1,18.8
2019-01-23,15:00:00,433.72,11.6,1.9,128,1030,5.1,18.5
2019-01-23,16:00:00,414.68,11.7,1.9,37,1030,4.7,18.0
2019-01-23,17:00:00,403.39,11.8,2.0,9,1030,4.0,16.9
2019-01-23,18:00:00,371.87,11.8,2.0,0,1031,3.8,16.6
2019-01-23,19:00:00,368.25,11.8,2.0,0,1031,3.8,16.5
2019-01-23,20:00:00,373.89,11.8,2.0,0,1031,3.8,16.4
2019-01-23,21:00:00,327.75,11.9,2.0,0,1031,3.8,16.4
2019-01-23,22:00:00,338.0,12.0,2.0,0,1031,3.8,16.4
2019-01-23,23:00:00,326.21,12.1,2.0,0,1031,3.8,16.3
2019-01-24,00:00:00,313.46,12.2,2.0,0,1030,3.8,16.3
2019-01-24,01:00:00,295.95,12.3,2.0,0,1030,3.8,16.3
2019-01-24,02:00:00,278.02,12.4,2.0,0,1030,3.8,16.3
2019-01-24,03:00:00,245.48,12.5,2.0,0,1030,3.9,16.4
2019-01-24,04:00:00,234.26,12.6,2.0,0,1030,4.0,16.4
2019-01-24,05:00:00,230.92,12.6,2.0,0,1030,4.1,16.6
2019-01-24,06:00:00,225.51,12.7,2.0,0,1031,4.2,16.6
2019-01-24,07:00:00,248.95,13.1,1.9,18,1031,4.4,17.4
2019-01-24,08:00:00,299.72,13.2,1.9,190,1032,4.9,18.1
2019-01-24,09:00:00,370.75,13.2,1.9,383,1032,5.1,18.7
2019-01-24,10:00:00,393.82,13.2,1.9,544,1032,4.9,19.1
2019-01-24,11:00:00,404.05,13.3,1.9,665,1031,4.8,19.4
2019-01-24,12:00:00,423.47,13.3,1.9,705,1030,4.8,19.6
2019-01-24,13:00:00,445.59,13.3,1.9,677,1030,5.0,19.7
2019-01-24,14:00:00,422.29,13.4,2.0,577,1029,5.2,19.6
2019-01-24,15:00:00,409.95,13.3,2.0,426,1029,5.2,19.3
2019-01-24,16:00:00,409.7,13.4,2.1,237,1029,4.8,18.7
2019-01-24,17:00:00,409.22,13.4,2.1,51,1030,4.0,17.8
2019-01-24,18:00:00,380.1,13.4,2.1,0,1030,3.8,17.5
2019-01-24,19:00:00,346.32,13.4,2.2,0,1031,3.6,17.4
2019-01-24,20:00:00,361.35,13.5,2.2,0,1031,3.6,17.3
2019-01-24,21:00:00,354.37,13.5,2.2,0,1031,3.6,17.2
2019-01-24,22:00:00,351.41,13.6,2.2,0,1030,3.5,17.1
2019-01-24,23:00:00,329.76,13.7,2.2,0,1030,3.5,17.1
2019-01-25,00:00:00,322.21,13.8,2.3,0,1030,3.4,17.2
2019-01-25,01:00:00,304.44,13.8,2.3,0,1030,3.3,17.2
2019-01-25,02:00:00,283.0,13.8,2.3,0,1030,3.2,17.2
2019-01-25,03:00:00,251.36,13.9,2.3,0,1030,3.1,17.3
2019-01-25,04:00:00,245.11,13.9,2.4,0,1030,3.0,17.3
2019-01-25,05:00:00,242.16,13.9,2.4,0,1030,2.9,17.4
2019-01-25,06:00:00,241.86,13.9,2.4,0,1031,2.7,17.3
2019-01-25,07:00:00,270.87,14.7,2.4,27,1031,2.5,18.5
2019-01-25,08:00:00,325.3,14.9,2.4,92,1032,2.6,19.6
2019-01-25,09:00:00,366.25,15.0,2.4,398,1032,2.2,20.3
2019-01-25,10:00:00,393.83,14.9,2.4,560,1031,1.9,20.9
2019-01-25,11:00:00,408.6,14.9,2.4,668,1031,2.2,21.2
2019-01-25,12:00:00,376.73,14.9,2.4,709,1030,2.6,21.2
2019-01-25,13:00:00,397.54,14.9,2.4,679,1030,3.2,21.1
2019-01-25,14:00:00,405.89,14.9,2.4,580,1029,3.7,20.7
2019-01-25,15:00:00,405.8,14.9,2.4,426,1030,4.2,20.0
2019-01-25,16:00:00,403.64,14.8,2.3,238,1030,4.2,19.1
2019-01-25,17:00:00,386.29,14.7,2.3,50,1031,3.7,18.2
2019-01-25,18:00:00,368.81,14.5,2.3,0,1032,3.7,18.0
2019-01-25,19:00:00,341.02,14.4,2.3,0,1033,3.8,17.9
2019-01-25,20:00:00,340.66,14.2,2.2,0,1033,4.0,17.8
2019-01-25,21:00:00,328.77,14.1,2.2,0,1033,4.4,17.8
