datetime,pred_KW,pred_TEMPERATURE,pred_OT,true_KW,true_TEMPERATURE,true_OT
2019-08-01 00:00:00,615.81793,28.966557,17.883028,598.27,29.0,1.006074e-06
2019-08-01 01:00:00,576.56946,28.850521,9.349839,558.85,28.9,1.006074e-06
2019-08-01 02:00:00,534.9342,28.648386,-2.1756124,522.67,28.8,1.006074e-06
2019-08-01 03:00:00,492.2009,28.543734,-10.127944,493.74,28.7,1.006074e-06
2019-08-01 04:00:00,466.25677,28.538795,-14.075667,464.62,28.7,1.006074e-06
2019-08-01 05:00:00,443.8653,28.720545,9.052857,430.15,28.7,1.006074e-06
2019-08-01 06:00:00,427.0527,29.130985,82.78075,406.57,29.2,74.0
2019-08-01 07:00:00,434.95514,29.821075,227.88977,424.41,29.8,273.0
2019-08-01 08:00:00,479.64865,30.513681,458.0506,532.13,30.6,487.0
2019-08-01 09:00:00,597.3,31.245054,676.0336,681.93,30.9,680.0
2019-08-01 10:00:00,713.92334,31.45513,751.1767,715.13,30.9,832.0
2019-08-01 11:00:00,750.19196,31.330673,810.6993,722.52997,31.0,940.0
2019-08-01 12:00:00,758.76917,31.050787,824.5434,705.2,31.1,970.00006
2019-08-01 13:00:00,753.7915,30.933874,776.8623,722.8,31.1,935.0
2019-08-01 14:00:00,752.6118,30.860645,696.1023,746.88,31.0,838.00006
2019-08-01 15:00:00,756.4217,30.796375,589.9243,772.88,30.8,681.0
2019-08-01 16:00:00,762.81635,30.62189,447.4233,738.84,30.6,484.0
2019-08-01 17:00:00,710.8713,30.285275,226.56734,668.86,30.2,268.0
2019-08-01 18:00:00,638.75574,29.702068,71.36991,633.18,29.8,71.0
2019-08-01 19:00:00,605.7559,29.385937,-6.6253195,574.52,29.6,1.006074e-06
2019-08-01 20:00:00,582.4409,29.323294,-15.380218,581.84,29.5,1.006074e-06
2019-08-01 21:00:00,597.9453,29.300358,7.6107035,550.53,29.5,1.006074e-06
2019-08-01 22:00:00,596.9227,29.25602,17.482576,561.69,29.3,1.006074e-06
2019-08-01 23:00:00,600.21313,29.135998,7.750352,565.19,29.2,1.006074e-06
2019-08-02 00:00:00,580.2261,29.026684,-2.682952,584.62,29.0,1.006074e-06
2019-08-02 01:00:00,556.10095,28.885958,1.8104258,560.6,28.8,1.006074e-06
2019-08-02 02:00:00,516.25775,28.598364,-11.128707,511.13,28.7,1.006074e-06
2019-08-02 03:00:00,478.2022,28.430931,-21.38069,478.69,28.7,1.006074e-06
